instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,32962,asl5200,9,0,val,25,1265,1314,0,0,360,240,https://www.youtube.com/watch?v=EhkIoTNxwGE,lettuce_0000_asl5200_32962.mp4,skipped_no_ytdlp
1,32969,aslu,5,0,train,25,1,-1,314,19,927,720,https://www.youtube.com/watch?v=pEKxWF8vUGo,lettuce_0001_aslu_32969.mp4,skipped_no_ytdlp
2,32970,aslu,5,0,train,25,1,-1,286,29,941,716,https://www.youtube.com/watch?v=VvRadFPMjEQ,lettuce_0002_aslu_32970.mp4,skipped_no_ytdlp
3,32971,aslpro,30,0,train,25,1,-1,0,5,225,240,http://www.aslpro.com/main/l/lettuce.swf,lettuce_0003_aslpro_32971.mp4,skipped_swf
4,66065,aslsignbank,99,0,train,25,1,-1,199,0,531,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/LE/LETTUCE-1651.mp4,lettuce_0004_aslsignbank_66065.mp4,failed
5,67842,asllex,109,0,train,25,1,-1,134,12,374,360,https://youtu.be/WmITf9IoItk,lettuce_0005_asllex_67842.mp4,skipped_no_ytdlp
6,32972,aslsearch,41,0,train,25,1,-1,203,33,480,400,http://www.aslsearch.com/signs/videos/lettuce.mp4,lettuce_0006_aslsearch_32972.mp4,ok
7,32963,startasl,38,0,train,25,1,-1,406,54,808,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/lettuce.mp4,lettuce_0007_startasl_32963.mp4,ok
8,32964,signschool,4,0,train,25,1,-1,527,0,1570,1072,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cabbage%2C%20Lettuce%2C%20Garbage%202-mBmLhI--vyg.mp4,lettuce_0008_signschool_32964.mp4,ok
9,32965,signschool,4,0,test,25,1,-1,302,0,1049,720,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Cabbage%252C%20Lettuce%252C%20Garbage.mp4,lettuce_0009_signschool_32965.mp4,ok
10,32966,asldeafined,13,0,train,25,1,-1,130,0,525,480,https://media.asldeafined.com/vocabulary/1468711249.6223.mp4,lettuce_0010_asldeafined_32966.mp4,ok
11,32967,handspeak,14,0,test,25,1,-1,62,10,284,240,https://www.handspeak.com/word/l/lettuce.mp4,lettuce_0011_handspeak_32967.mp4,failed
12,32968,signingsavvy,11,0,val,25,1,-1,68,0,229,192,https://www.signingsavvy.com/signs/mp4/7/7935.mp4,lettuce_0012_signingsavvy_32968.mp4,ok
