instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,34685,asl5200,9,0,test,25,298,340,0,0,360,240,https://www.youtube.com/watch?v=IxO7unGawfk,man_0000_asl5200_34685.mp4,skipped_no_ytdlp
1,69395,aslbrick,116,0,val,25,1,-1,346,24,1037,720,http://aslbricks.org/New/ASL-Videos/man.mp4,man_0001_aslbrick_69395.mp4,ok
2,68794,lillybauer,115,0,train,25,1,51,329,4,915,720,https://www.youtube.com/watch?v=pi_BA9L-UNk,man_0002_lillybauer_68794.mp4,skipped_no_ytdlp
3,34746,aslsearch,41,0,train,25,1,-1,214,37,479,400,http://www.aslsearch.com/signs/videos/male.mp4,man_0003_aslsearch_34746.mp4,ok
4,34733,startasl,36,0,train,25,1,-1,183,17,527,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/man2.mp4,man_0004_startasl_34733.mp4,ok
5,34734,startasl,36,0,train,25,1,-1,143,11,522,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/man.mp4,man_0005_startasl_34734.mp4,ok
7,34736,signschool,4,0,train,25,1,-1,462,73,1617,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Male%2C%20Man-k2HqojTY0ZE.mp4,man_0007_signschool_34736.mp4,ok
8,34737,signschool,39,0,train,25,1,-1,851,60,1746,1067,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Man-aifqg8ePLMI.mp4,man_0008_signschool_34737.mp4,ok
9,34738,asldeafined,34,0,train,25,1,-1,127,17,577,480,https://media.asldeafined.com/vocabulary/1546574351.9937.mp4,man_0009_asldeafined_34738.mp4,ok
10,34739,handspeak,20,0,train,25,1,-1,88,0,590,480,https://www.handspeak.com/word/m/man2.mp4,man_0010_handspeak_34739.mp4,failed
12,34741,handspeak,20,0,train,25,1,-1,82,0,583,480,https://www.handspeak.com/word/m/man.mp4,man_0012_handspeak_34741.mp4,failed
13,66098,aslsignbank,97,0,train,25,1,-1,135,27,464,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/MA/MAN-1627.mp4,man_0013_aslsignbank_66098.mp4,failed
14,66099,aslsignbank,97,0,train,25,1,-1,150,27,461,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/MA/MAN-2000.mp4,man_0014_aslsignbank_66099.mp4,failed
15,66097,aslsignbank,97,0,val,25,1,-1,143,7,464,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/MA/MAN-503.mp4,man_0015_aslsignbank_66097.mp4,failed
16,34732,spreadthesign,37,0,train,25,1,-1,36,0,248,240,https://media.spreadthesign.com/video/mp4/13/456667.mp4,man_0016_spreadthesign_34732.mp4,ok
17,67872,asllex,109,0,val,25,1,-1,100,24,381,360,https://youtu.be/T2R4utmVagc,man_0017_asllex_67872.mp4,skipped_no_ytdlp
18,34742,signingsavvy,11,0,train,25,1,-1,66,10,221,192,https://www.signingsavvy.com/signs/mp4/7/7441.mp4,man_0018_signingsavvy_34742.mp4,ok
19,34743,aslu,5,0,test,25,1,-1,293,30,948,720,https://www.youtube.com/watch?v=lyAWyqDxUqg,man_0019_aslu_34743.mp4,skipped_no_ytdlp
20,34744,aslu,5,0,train,25,1,-1,336,32,949,720,https://www.youtube.com/watch?v=rTUmMfWQ2rw,man_0020_aslu_34744.mp4,skipped_no_ytdlp
21,34745,aslpro,87,0,train,25,1,-1,11,9,214,240,http://www.aslpro.com/main/m/man.swf,man_0021_aslpro_34745.mp4,skipped_swf
