instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,34822,asl5200,9,0,test,25,461,517,0,0,360,240,https://www.youtube.com/watch?v=IxO7unGawfk,many_0000_asl5200_34822.mp4,skipped_no_ytdlp
1,69396,aslbrick,118,0,val,25,1,-1,374,52,902,720,http://aslbricks.org/New/ASL-Videos/many.mp4,many_0001_aslbrick_69396.mp4,ok
2,70308,northtexas,121,0,val,25,1524,1638,111,25,276,240,https://www.youtube.com/watch?v=pc0-gVEETVg,many_0002_northtexas_70308.mp4,skipped_no_ytdlp
3,34823,spreadthesign,2,0,train,25,1,-1,26,4,278,240,https://media.spreadthesign.com/video/mp4/13/246018.mp4,many_0003_spreadthesign_34823.mp4,ok
4,34824,startasl,38,0,train,25,1,-1,426,54,796,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/many.mp4,many_0004_startasl_34824.mp4,ok
5,34825,signschool,6,0,train,25,1,-1,552,55,1533,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Many%202-j0vvJVAAcBs.mp4,many_0005_signschool_34825.mp4,ok
6,34826,signschool,6,0,train,25,1,-1,659,80,1618,1072,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Many-RzCIBY5rsGA.mp4,many_0006_signschool_34826.mp4,ok
7,34827,asldeafined,13,0,train,25,1,-1,124,0,523,480,https://media.asldeafined.com/vocabulary/1468713681.2568.mp4,many_0007_asldeafined_34827.mp4,ok
8,34828,handspeak,20,0,val,25,1,-1,69,0,575,480,https://www.handspeak.com/word/m/many2.mp4,many_0008_handspeak_34828.mp4,failed
9,34829,handspeak,20,0,train,25,1,-1,82,0,608,480,https://www.handspeak.com/word/m/many.mp4,many_0009_handspeak_34829.mp4,failed
10,34830,signingsavvy,11,0,train,25,1,-1,82,14,221,192,https://www.signingsavvy.com/signs/mp4/6/6570.mp4,many_0010_signingsavvy_34830.mp4,ok
11,34831,signingsavvy,11,0,train,25,1,-1,84,11,230,192,https://www.signingsavvy.com/signs/mp4/8/8040.mp4,many_0011_signingsavvy_34831.mp4,ok
12,67873,asllex,109,0,train,25,1,-1,88,20,374,360,https://youtu.be/eTmzHLtBOnU,many_0012_asllex_67873.mp4,skipped_no_ytdlp
13,34832,signingsavvy,11,0,train,25,1,-1,86,12,228,192,https://www.signingsavvy.com/signs/mp4/8/8041.mp4,many_0013_signingsavvy_34832.mp4,ok
14,34833,nabboud,7,0,train,25,1,-1,338,80,968,720,https://www.youtube.com/watch?v=3B2kbN-ai6Y,many_0014_nabboud_34833.mp4,skipped_no_ytdlp
15,34834,aslu,5,0,test,25,1,-1,328,41,963,720,https://www.youtube.com/watch?v=7O2mS0Kz4CA,many_0015_aslu_34834.mp4,skipped_no_ytdlp
16,34835,aslu,5,0,train,25,1,-1,340,10,1023,720,https://www.youtube.com/watch?v=KBk8p5Xv2ow,many_0016_aslu_34835.mp4,skipped_no_ytdlp
17,34836,aslu,5,0,test,25,1,-1,330,28,966,720,https://www.youtube.com/watch?v=Ku9SWR4uSUI,many_0017_aslu_34836.mp4,skipped_no_ytdlp
18,34837,nabboud,7,0,train,25,1,-1,356,84,976,720,https://www.youtube.com/watch?v=MHJPgvs2kP8,many_0018_nabboud_34837.mp4,skipped_no_ytdlp
19,34838,aslpro,83,0,train,25,1,-1,0,8,219,240,http://www.aslpro.com/main/m/many.swf,many_0019_aslpro_34838.mp4,skipped_swf
20,34839,aslsearch,41,0,train,25,1,-1,223,39,471,400,http://www.aslsearch.com/signs/videos/many.mp4,many_0020_aslsearch_34839.mp4,ok
