instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,35506,asl5200,9,0,test,25,865,894,0,0,360,240,https://www.youtube.com/watch?v=IxO7unGawfk,meet_0000_asl5200_35506.mp4,skipped_no_ytdlp
1,68099,valencia-asl,111,0,val,25,1,-1,183,13,622,480,https://www.youtube.com/watch?v=pWFDhzkId9o,meet_0001_valencia-asl_68099.mp4,skipped_no_ytdlp
2,68974,lillybauer,115,0,train,25,1,59,337,10,917,720,https://www.youtube.com/watch?v=VSBIqNFEQxI,meet_0002_lillybauer_68974.mp4,skipped_no_ytdlp
3,35511,signschool,31,0,train,25,1,-1,589,67,1810,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Meet-SHPBneo_ofY.mp4,meet_0003_signschool_35511.mp4,ok
4,35512,signschool,3,0,train,25,1,-1,744,20,1666,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Meet-UvaayIDXkuw.mp4,meet_0004_signschool_35512.mp4,ok
5,35513,asldeafined,13,0,test,25,1,-1,150,0,551,480,https://media.asldeafined.com/vocabulary/1468714718.3075.mp4,meet_0005_asldeafined_35513.mp4,ok
6,35514,handspeak,20,0,train,25,1,-1,73,11,258,240,https://www.handspeak.com/word/m/meet-me.mp4,meet_0006_handspeak_35514.mp4,failed
7,35515,handspeak,14,0,train,25,1,-1,63,9,263,240,https://www.handspeak.com/word/m/meet.mp4,meet_0007_handspeak_35515.mp4,failed
8,35516,signingsavvy,11,0,train,25,1,-1,55,18,218,192,https://www.signingsavvy.com/signs/mp4/0/517.mp4,meet_0008_signingsavvy_35516.mp4,ok
9,35517,signingsavvy,11,0,train,25,1,-1,82,7,205,192,https://www.signingsavvy.com/signs/mp4/5/5837.mp4,meet_0009_signingsavvy_35517.mp4,ok
10,35518,signingsavvy,11,0,train,25,1,-1,52,12,222,192,https://www.signingsavvy.com/signs/mp4/9/9003.mp4,meet_0010_signingsavvy_35518.mp4,ok
11,66112,aslsignbank,97,0,val,25,1,-1,170,28,474,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/ME/MEET-1620.mp4,meet_0011_aslsignbank_66112.mp4,failed
12,35509,spreadthesign,56,0,train,25,1,-1,48,0,273,240,https://media.spreadthesign.com/video/mp4/13/50874.mp4,meet_0012_spreadthesign_35509.mp4,ok
13,67886,asllex,109,0,val,25,1,-1,87,18,379,360,https://youtu.be/W4FXyEWBu4I,meet_0013_asllex_67886.mp4,skipped_no_ytdlp
14,35519,scott,47,0,train,25,1,-1,319,21,933,720,https://www.youtube.com/watch?v=AsdBSknwrjg,meet_0014_scott_35519.mp4,skipped_no_ytdlp
15,35520,aslu,5,0,train,25,1,-1,171,7,495,360,https://www.youtube.com/watch?v=eP816GBFVeg,meet_0015_aslu_35520.mp4,skipped_no_ytdlp
16,35521,aslu,5,0,train,25,1,-1,345,28,937,720,https://www.youtube.com/watch?v=FC1R9kyegJY,meet_0016_aslu_35521.mp4,skipped_no_ytdlp
17,35522,aslpro,87,0,train,25,1,-1,0,7,228,240,http://www.aslpro.com/main/m/meet.swf,meet_0017_aslpro_35522.mp4,skipped_swf
18,35523,aslsearch,12,0,train,25,1,-1,184,54,560,400,http://www.aslsearch.com/signs/videos/meet.mp4,meet_0018_aslsearch_35523.mp4,ok
