instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,36826,asl5200,9,0,val,25,2040,2086,0,0,360,240,https://www.youtube.com/watch?v=IxO7unGawfk,more_0000_asl5200_36826.mp4,skipped_no_ytdlp
1,69401,aslbrick,115,0,train,25,1,-1,381,52,901,720,http://aslbricks.org/New/ASL-Videos/more.mp4,more_0001_aslbrick_69401.mp4,ok
2,70222,northtexas,121,0,train,25,3948,4036,118,25,276,240,https://www.youtube.com/watch?v=hjS0dQDgbjo,more_0002_northtexas_70222.mp4,skipped_no_ytdlp
3,36830,asldeafined,13,0,val,25,1,-1,151,0,537,480,https://media.asldeafined.com/vocabulary/1468716587.784.mp4,more_0003_asldeafined_36830.mp4,ok
4,36832,handspeak,14,0,train,25,1,-1,56,1,272,240,https://www.handspeak.com/word/m/more.mp4,more_0004_handspeak_36832.mp4,failed
5,36834,signingsavvy,11,0,train,25,1,-1,71,5,216,192,https://www.signingsavvy.com/signs/mp4/5/5684.mp4,more_0005_signingsavvy_36834.mp4,ok
7,67906,asllex,109,0,train,25,1,-1,100,13,388,360,https://youtu.be/eKLTlUZlE9w,more_0007_asllex_67906.mp4,skipped_no_ytdlp
8,36836,signingsavvy,11,0,train,25,1,-1,62,10,236,192,https://www.signingsavvy.com/signs/mp4/8/8051.mp4,more_0008_signingsavvy_36836.mp4,ok
9,36837,aslu,64,0,train,25,1,-1,140,40,401,341,https://www.youtube.com/watch?v=tPDGvZK_o_c,more_0009_aslu_36837.mp4,skipped_no_ytdlp
10,36838,aslu,5,0,test,25,1,-1,246,0,986,720,https://www.youtube.com/watch?v=tPDGvZK_o_c,more_0010_aslu_36838.mp4,skipped_no_ytdlp
11,36839,aslpro,87,0,val,25,1,-1,28,6,229,240,http://www.aslpro.com/main/m/more.swf,more_0011_aslpro_36839.mp4,skipped_swf
12,36840,aslsearch,12,0,test,25,1,-1,186,49,540,400,http://www.aslsearch.com/signs/videos/more.mp4,more_0012_aslsearch_36840.mp4,ok
13,36827,spreadthesign,2,0,train,25,1,-1,96,29,253,240,https://media.spreadthesign.com/video/mp4/13/93968.mp4,more_0013_spreadthesign_36827.mp4,ok
14,36828,startasl,36,0,train,25,1,-1,205,18,548,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/more.mp4,more_0014_startasl_36828.mp4,ok
15,36829,signschool,52,0,train,25,1,-1,358,14,814,480,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20More-J-00GUpKfFg.mp4,more_0015_signschool_36829.mp4,ok
