instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,36856,asl5200,9,0,val,25,2087,2136,0,0,360,240,https://www.youtube.com/watch?v=IxO7unGawfk,morning_0000_asl5200_36856.mp4,skipped_no_ytdlp
1,70278,northtexas,121,0,train,25,516,636,159,36,397,360,https://www.youtube.com/watch?v=CSj7IScvZnE,morning_0001_northtexas_70278.mp4,skipped_no_ytdlp
2,69022,lillybauer,113,0,train,25,1,93,215,57,903,720,https://www.youtube.com/watch?v=xdY1qV8lx4g,morning_0002_lillybauer_69022.mp4,skipped_no_ytdlp
3,36864,aslu,5,0,train,25,1,-1,389,31,997,720,https://www.youtube.com/watch?v=iH8N44QMh7c,morning_0003_aslu_36864.mp4,skipped_no_ytdlp
4,36865,aslpro,87,0,train,25,1,-1,3,6,231,240,http://www.aslpro.com/main/m/morning.swf,morning_0004_aslpro_36865.mp4,skipped_swf
5,67907,asllex,109,0,train,25,1,-1,98,24,391,360,https://youtu.be/BtlYeYdlUX0,morning_0005_asllex_67907.mp4,skipped_no_ytdlp
6,36866,aslsearch,12,0,train,25,1,-1,188,51,541,400,http://www.aslsearch.com/signs/videos/morning.mp4,morning_0006_aslsearch_36866.mp4,ok
7,36857,spreadthesign,56,0,train,25,1,-1,42,0,271,240,https://media.spreadthesign.com/video/mp4/13/48602.mp4,morning_0007_spreadthesign_36857.mp4,ok
8,36858,startasl,36,0,train,25,1,-1,231,16,558,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/morning.mp4,morning_0008_startasl_36858.mp4,ok
9,36859,signschool,46,0,test,25,1,-1,418,18,1284,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Morning-Oem8EmGkQ0M.mp4,morning_0009_signschool_36859.mp4,ok
10,36860,asldeafined,13,0,train,25,1,-1,41,0,530,480,https://media.asldeafined.com/vocabulary/1468716608.8519.mp4,morning_0010_asldeafined_36860.mp4,ok
11,36861,handspeak,14,0,test,25,1,-1,29,10,253,240,https://www.handspeak.com/word/m/morning.mp4,morning_0011_handspeak_36861.mp4,failed
13,36863,signingsavvy,11,0,val,25,1,-1,70,15,208,192,https://www.signingsavvy.com/signs/mp4/14/14715.mp4,morning_0013_signingsavvy_36863.mp4,ok
