instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,36912,asl5200,9,0,val,25,2137,2186,0,0,360,240,https://www.youtube.com/watch?v=IxO7unGawfk,most_0000_asl5200_36912.mp4,skipped_no_ytdlp
1,68268,lillybauer,113,0,train,25,1,83,110,9,543,360,https://www.youtube.com/watch?v=6b6U9bVotmA,most_0001_lillybauer_68268.mp4,skipped_no_ytdlp
2,68102,valencia-asl,109,0,train,25,1,-1,52,0,1097,720,https://www.youtube.com/watch?v=naUdktabfPI,most_0002_valencia-asl_68102.mp4,skipped_no_ytdlp
3,70052,northtexas,121,0,val,25,8410,8518,136,21,490,480,https://www.youtube.com/watch?v=sErq0TJMKEo,most_0003_northtexas_70052.mp4,skipped_no_ytdlp
4,36920,aslu,5,0,train,25,1,-1,98,19,430,360,https://www.youtube.com/watch?v=YjdGJdybxeY,most_0004_aslu_36920.mp4,skipped_no_ytdlp
5,36921,aslpro,87,0,train,25,1,-1,0,14,232,240,http://www.aslpro.com/main/m/most.swf,most_0005_aslpro_36921.mp4,skipped_swf
6,66145,aslsignbank,97,0,train,25,1,-1,189,29,463,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/MO/MOST-1591.mp4,most_0006_aslsignbank_66145.mp4,failed
7,36922,aslsearch,12,0,train,25,1,-1,172,52,541,400,http://www.aslsearch.com/signs/videos/most.mp4,most_0007_aslsearch_36922.mp4,ok
8,36913,spreadthesign,37,0,train,25,1,-1,32,0,249,240,https://media.spreadthesign.com/video/mp4/13/457041.mp4,most_0008_spreadthesign_36913.mp4,ok
9,36914,startasl,38,0,test,25,1,-1,421,58,835,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/most.mp4,most_0009_startasl_36914.mp4,ok
10,36915,signschool,39,0,val,25,1,-1,808,50,1746,1073,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Most-XW-lvNPzsPQ.mp4,most_0010_signschool_36915.mp4,ok
11,36916,asldeafined,13,0,test,25,1,-1,125,0,516,480,https://media.asldeafined.com/vocabulary/1468716692.7347.mp4,most_0011_asldeafined_36916.mp4,ok
12,36917,handspeak,20,0,train,25,1,-1,97,0,498,480,https://www.handspeak.com/word/m/most.mp4,most_0012_handspeak_36917.mp4,failed
13,36918,signingsavvy,11,0,train,25,1,-1,70,10,203,192,https://www.signingsavvy.com/signs/mp4/14/14204.mp4,most_0013_signingsavvy_36918.mp4,ok
14,36919,aslu,5,0,train,25,1,-1,301,14,948,720,https://www.youtube.com/watch?v=nPntlOgjAxo,most_0014_aslu_36919.mp4,skipped_no_ytdlp
