instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,37879,asl5200,9,0,test,25,507,546,0,0,360,240,https://www.youtube.com/watch?v=1_jXxjd0lKE,need_0000_asl5200_37879.mp4,skipped_no_ytdlp
1,70237,northtexas,121,0,test,25,5549,5666,154,44,399,360,https://www.youtube.com/watch?v=4Nh1iFv2BMc,need_0001_northtexas_70237.mp4,skipped_no_ytdlp
2,68544,lillybauer,115,0,train,25,1,59,355,30,941,720,https://www.youtube.com/watch?v=ieLzL1Sl6SU,need_0002_lillybauer_68544.mp4,skipped_no_ytdlp
3,37885,handspeak,20,0,train,25,1,-1,75,0,573,480,https://www.handspeak.com/word/n/need.mp4,need_0003_handspeak_37885.mp4,failed
4,37886,signingsavvy,11,0,train,25,1,-1,69,15,215,192,https://www.signingsavvy.com/signs/mp4/9/9563.mp4,need_0004_signingsavvy_37886.mp4,ok
5,37887,aslu,5,0,val,25,1,-1,251,0,926,720,https://www.youtube.com/watch?v=Eo-vEE1gFxM,need_0005_aslu_37887.mp4,skipped_no_ytdlp
6,37888,aslu,5,0,train,25,1,-1,251,0,926,720,https://www.youtube.com/watch?v=Eo-vEE1gFxM,need_0006_aslu_37888.mp4,skipped_no_ytdlp
7,37889,aslu,5,0,train,25,1,-1,284,42,938,720,https://www.youtube.com/watch?v=kgmz82HWI-I,need_0007_aslu_37889.mp4,skipped_no_ytdlp
8,37890,aslu,5,0,val,25,1,-1,373,18,989,720,https://www.youtube.com/watch?v=n5hGwUxGm0Y,need_0008_aslu_37890.mp4,skipped_no_ytdlp
9,37881,spreadthesign,0,0,train,25,1,-1,27,8,248,240,https://media.spreadthesign.com/video/mp4/13/63549.mp4,need_0009_spreadthesign_37881.mp4,ok
10,67925,asllex,109,0,train,25,1,-1,97,20,347,360,https://youtu.be/JPvbOOrG-gU,need_0010_asllex_67925.mp4,skipped_no_ytdlp
11,37891,aslu,5,0,train,25,1,-1,341,45,946,718,https://www.youtube.com/watch?v=RoY7cjIPNxY,need_0011_aslu_37891.mp4,skipped_no_ytdlp
12,37892,nabboud,51,0,train,25,1,-1,286,68,887,720,https://www.youtube.com/watch?v=rul1iWBt3Jg,need_0012_nabboud_37892.mp4,skipped_no_ytdlp
13,37893,aslpro,87,0,train,25,1,-1,27,9,228,240,http://www.aslpro.com/main/n/need.swf,need_0013_aslpro_37893.mp4,skipped_swf
14,37894,aslsearch,41,0,train,25,1,-1,245,39,505,400,http://www.aslsearch.com/signs/videos/shall.mp4,need_0014_aslsearch_37894.mp4,ok
15,37882,startasl,36,0,val,25,1,-1,217,16,522,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/need.mp4,need_0015_startasl_37882.mp4,ok
16,37883,signschool,27,0,train,25,1,-1,777,75,1751,1074,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Need-0qij0e7-5Ak.mp4,need_0016_signschool_37883.mp4,ok
17,37884,asldeafined,13,0,train,25,1,-1,109,0,496,480,https://media.asldeafined.com/vocabulary/1468718141.8252.mp4,need_0017_asldeafined_37884.mp4,ok
