instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,40816,asl5200,9,0,test,25,101,173,0,0,360,240,https://www.youtube.com/watch?v=zHd4YEFzpwE,paint_0000_asl5200_40816.mp4,skipped_no_ytdlp
1,68364,lillybauer,115,0,test,25,1,91,117,11,546,358,https://www.youtube.com/watch?v=bzeoojCEbX0,paint_0001_lillybauer_68364.mp4,skipped_no_ytdlp
2,68125,valencia-asl,109,0,train,25,1,-1,97,0,1173,720,https://www.youtube.com/watch?v=VPeBrHewtSY,paint_0002_valencia-asl_68125.mp4,skipped_no_ytdlp
3,40838,handspeak,14,0,train,25,1,-1,110,16,537,480,https://www.handspeak.com/word/p/paint-art.mp4,paint_0003_handspeak_40838.mp4,failed
4,40839,handspeak,14,0,train,25,1,-1,109,17,541,480,https://www.handspeak.com/word/p/paint-wall.mp4,paint_0004_handspeak_40839.mp4,failed
5,40840,signingsavvy,11,0,val,25,1,-1,80,12,209,192,https://www.signingsavvy.com/signs/mp4/14/14823.mp4,paint_0005_signingsavvy_40840.mp4,ok
6,40841,signingsavvy,11,0,train,25,1,-1,78,11,210,192,https://www.signingsavvy.com/signs/mp4/14/14824.mp4,paint_0006_signingsavvy_40841.mp4,ok
7,40842,aslu,5,0,train,25,1,-1,193,23,991,720,https://www.youtube.com/watch?v=9V_pXf6tP_U,paint_0007_aslu_40842.mp4,skipped_no_ytdlp
8,40843,aslu,5,0,val,25,1,-1,331,47,935,720,https://www.youtube.com/watch?v=iZ713O5fNos,paint_0008_aslu_40843.mp4,skipped_no_ytdlp
9,40834,signschool,31,0,train,25,1,-1,672,123,1519,1071,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Paint%202-na0od_u1s8k.mp4,paint_0009_signschool_40834.mp4,ok
10,67958,asllex,109,0,train,25,1,-1,75,20,384,360,https://youtu.be/2x5hblbX1Ho,paint_0010_asllex_67958.mp4,skipped_no_ytdlp
11,40844,nabboud,81,0,train,25,1,-1,361,70,838,720,https://www.youtube.com/watch?v=NGNoEmYEpCQ,paint_0011_nabboud_40844.mp4,skipped_no_ytdlp
12,40845,aslu,5,0,train,25,1,-1,321,48,939,720,https://www.youtube.com/watch?v=WXDexpGu-zU,paint_0012_aslu_40845.mp4,skipped_no_ytdlp
13,40846,aslpro,87,0,train,25,1,-1,16,20,206,240,http://www.aslpro.com/main/p/paint.swf,paint_0013_aslpro_40846.mp4,skipped_swf
14,40847,aslsearch,12,0,train,25,1,-1,183,59,560,400,http://www.aslsearch.com/signs/videos/paint.mp4,paint_0014_aslsearch_40847.mp4,ok
15,40835,signschool,31,0,val,25,1,-1,630,123,1712,1072,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Paint-e962KC5Cm5w.mp4,paint_0015_signschool_40835.mp4,ok
16,40836,signschool,31,0,train,25,1,-1,639,65,1578,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Paint-qTA0nc4WYOc.mp4,paint_0016_signschool_40836.mp4,ok
17,40837,asldeafined,13,0,train,25,1,-1,121,0,529,480,https://media.asldeafined.com/vocabulary/1468723124.3329.mp4,paint_0017_asldeafined_40837.mp4,ok
