instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,66270,aslsignbank,101,0,train,25,1,-1,213,11,482,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/PA/PATIENT-250.mp4,patient_0000_aslsignbank_66270.mp4,failed
1,41509,asldeafined,13,0,train,25,1,-1,105,0,480,480,https://media.asldeafined.com/vocabulary/1468724395.2789.mp4,patient_0001_asldeafined_41509.mp4,ok
2,41506,startasl,38,0,train,25,1,-1,436,52,817,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/patient.mp4,patient_0002_startasl_41506.mp4,ok
3,41510,handspeak,14,0,train,25,1,-1,54,7,261,240,https://www.handspeak.com/word/p/patient.mp4,patient_0003_handspeak_41510.mp4,failed
4,41511,signingsavvy,11,0,val,25,1,-1,71,18,207,192,https://www.signingsavvy.com/signs/mp4/8/8600.mp4,patient_0004_signingsavvy_41511.mp4,ok
5,67968,asllex,109,0,val,25,1,-1,102,14,369,360,https://youtu.be/bjTKyFHEq9E,patient_0005_asllex_67968.mp4,skipped_no_ytdlp
6,41512,aslu,5,0,train,25,1,-1,357,12,983,720,https://www.youtube.com/watch?v=fV5paFI1Xac,patient_0006_aslu_41512.mp4,skipped_no_ytdlp
7,67966,asllex,109,1,train,25,1,-1,105,14,370,360,https://youtu.be/tMK_fRPoGO4,patient_0007_asllex_67966.mp4,skipped_no_ytdlp
8,41513,aslu,5,1,test,25,1,-1,363,33,953,720,https://www.youtube.com/watch?v=GpwqfknHObE,patient_0008_aslu_41513.mp4,skipped_no_ytdlp
9,41516,aslsearch,41,1,val,25,1,-1,225,35,477,400,http://www.aslsearch.com/signs/videos/patient.mp4,patient_0009_aslsearch_41516.mp4,ok
10,41507,signschool,4,0,test,25,1,-1,693,62,1564,1056,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Patient%20copy-ZD4Qp4w9Wwo.mp4,patient_0010_signschool_41507.mp4,ok
11,41514,aslpro,30,0,train,25,1,-1,5,10,231,240,http://www.aslpro.com/main/p/patient_characteristic.swf,patient_0011_aslpro_41514.mp4,skipped_swf
12,41508,signschool,4,1,train,25,1,-1,660,88,1518,1075,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Patient-V-R54zsyHss.mp4,patient_0012_signschool_41508.mp4,ok
13,41515,aslpro,44,1,train,25,1,-1,2,3,208,240,http://www.aslpro.com/main/p/patient_medical.swf,patient_0013_aslpro_41515.mp4,skipped_swf
