instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,41920,asl5200,9,0,val,25,1254,1330,0,0,360,240,https://www.youtube.com/watch?v=zHd4YEFzpwE,people_0000_asl5200_41920.mp4,skipped_no_ytdlp
1,69426,aslbrick,118,0,train,25,1,-1,338,37,949,720,http://aslbricks.org/New/ASL-Videos/people.mp4,people_0001_aslbrick_69426.mp4,ok
2,68346,lillybauer,115,0,train,25,1,77,290,5,1075,720,https://www.youtube.com/watch?v=az3w7F11lJs,people_0002_lillybauer_68346.mp4,skipped_no_ytdlp
3,70144,northtexas,121,0,train,25,5679,5856,129,23,510,480,https://www.youtube.com/watch?v=VwejDy96MzM,people_0003_northtexas_70144.mp4,skipped_no_ytdlp
4,41930,aslpro,87,0,train,25,1,-1,23,17,209,240,http://www.aslpro.com/main/p/people.swf,people_0004_aslpro_41930.mp4,skipped_swf
5,41931,aslsearch,12,0,train,25,1,-1,197,52,569,400,http://www.aslsearch.com/signs/videos/people.mp4,people_0005_aslsearch_41931.mp4,ok
6,41922,spreadthesign,56,0,train,25,1,-1,20,0,288,240,https://media.spreadthesign.com/video/mp4/13/49185.mp4,people_0006_spreadthesign_41922.mp4,ok
7,67974,asllex,109,0,train,25,1,-1,98,19,353,360,https://youtu.be/sh_YuONgpFo,people_0007_asllex_67974.mp4,skipped_no_ytdlp
8,41923,signschool,39,0,train,25,1,-1,707,136,1620,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20People-fgoK5-CEOzU.mp4,people_0008_signschool_41923.mp4,ok
9,41924,asldeafined,13,0,test,25,1,-1,118,0,570,480,https://media.asldeafined.com/vocabulary/1525610734.9912.mp4,people_0009_asldeafined_41924.mp4,ok
11,41926,handspeak,14,0,train,25,1,-1,94,0,519,480,https://www.handspeak.com/word/p/people.mp4,people_0011_handspeak_41926.mp4,failed
12,41927,signingsavvy,11,0,test,25,1,-1,70,14,222,192,https://www.signingsavvy.com/signs/mp4/6/6404.mp4,people_0012_signingsavvy_41927.mp4,ok
14,41929,aslu,5,0,val,25,1,-1,284,42,1016,720,https://www.youtube.com/watch?v=G_g11mm-iRY,people_0014_aslu_41929.mp4,skipped_no_ytdlp
