instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,45252,asl5200,9,0,test,25,6706,6755,0,0,360,240,https://www.youtube.com/watch?v=zHd4YEFzpwE,pull_0000_asl5200_45252.mp4,skipped_no_ytdlp
1,69439,aslbrick,115,0,test,25,1,-1,71,38,1022,720,http://aslbricks.org/New/ASL-Videos/pull.mp4,pull_0001_aslbrick_69439.mp4,ok
2,70378,northtexas,121,0,train,25,5233,5344,137,16,463,480,https://www.youtube.com/watch?v=Z25ng9maolE,pull_0002_northtexas_70378.mp4,skipped_no_ytdlp
3,45265,asldeafined,13,0,train,25,1,-1,156,0,567,480,https://media.asldeafined.com/vocabulary/1468757283.4828.mp4,pull_0003_asldeafined_45265.mp4,ok
4,45266,handspeak,20,0,train,25,1,-1,121,0,548,480,https://www.handspeak.com/word/p/pull.mp4,pull_0004_handspeak_45266.mp4,failed
5,45267,signingsavvy,10,0,val,25,1,-1,60,29,223,192,https://www.signingsavvy.com/signs/mp4/22/22921.mp4,pull_0005_signingsavvy_45267.mp4,ok
6,45268,aslu,5,0,train,25,1,-1,346,36,1036,720,https://www.youtube.com/watch?v=i5qAkbXqz9Y,pull_0006_aslu_45268.mp4,skipped_no_ytdlp
7,45269,aslu,5,0,train,25,1,-1,358,56,944,720,https://www.youtube.com/watch?v=kO_5FgRTVCs,pull_0007_aslu_45269.mp4,skipped_no_ytdlp
8,45270,nabboud,7,0,val,25,1,-1,324,92,946,720,https://www.youtube.com/watch?v=v_raVhhnAIE,pull_0008_nabboud_45270.mp4,skipped_no_ytdlp
9,66351,aslsignbank,101,0,train,25,1,-1,214,7,518,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/PU/PULL-229.mp4,pull_0009_aslsignbank_66351.mp4,failed
10,45261,spreadthesign,26,0,train,25,1,-1,62,21,290,240,https://media.spreadthesign.com/video/mp4/13/306777.mp4,pull_0010_spreadthesign_45261.mp4,ok
11,67111,asllex,109,0,train,25,1,-1,92,19,372,360,https://youtu.be/nsRQOdkyTP8,pull_0011_asllex_67111.mp4,skipped_no_ytdlp
12,45271,aslu,5,0,train,25,1,-1,134,5,535,360,https://www.youtube.com/watch?v=zfNH9EdhgNo,pull_0012_aslu_45271.mp4,skipped_no_ytdlp
13,45272,aslpro,24,0,train,25,1,-1,14,16,204,240,http://www.aslpro.com/main/p/pull.swf,pull_0013_aslpro_45272.mp4,skipped_swf
14,45273,aslsearch,41,0,train,25,1,-1,213,38,551,400,http://www.aslsearch.com/signs/videos/pull.mp4,pull_0014_aslsearch_45273.mp4,ok
15,45262,signschool,32,0,val,25,1,-1,687,88,1685,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Pull2-3gtcnXxKZHs.mp4,pull_0015_signschool_45262.mp4,ok
16,45263,signschool,31,0,train,25,1,-1,368,108,1509,1078,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Pull-78bHeANdyYc.mp4,pull_0016_signschool_45263.mp4,ok
17,45264,signschool,32,0,train,25,1,-1,744,77,1564,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Pull-N_bMKvAGxjs.mp4,pull_0017_signschool_45264.mp4,ok
