instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,45432,asl5200,9,0,test,25,6859,6898,0,0,360,240,https://www.youtube.com/watch?v=zHd4YEFzpwE,purple_0000_asl5200_45432.mp4,skipped_no_ytdlp
1,69440,aslbrick,118,0,test,25,1,-1,169,38,878,720,http://aslbricks.org/New/ASL-Videos/purple.mp4,purple_0001_aslbrick_69440.mp4,ok
2,68137,valencia-asl,110,0,train,25,1,-1,247,0,640,480,https://www.youtube.com/watch?v=ESK6NAvvsKg,purple_0002_valencia-asl_68137.mp4,skipped_no_ytdlp
3,68726,lillybauer,115,0,train,25,1,59,346,6,896,720,https://www.youtube.com/watch?v=nBhhhS7HXIo,purple_0003_lillybauer_68726.mp4,skipped_no_ytdlp
4,70247,northtexas,121,0,train,25,1581,1681,99,44,394,360,https://www.youtube.com/watch?v=WprUBqi3iBc,purple_0004_northtexas_70247.mp4,skipped_no_ytdlp
5,45438,signingsavvy,11,0,val,25,1,-1,73,19,220,191,https://www.signingsavvy.com/signs/mp4/6/6858.mp4,purple_0005_signingsavvy_45438.mp4,ok
6,45439,scott,47,0,train,25,1,-1,321,11,939,720,https://www.youtube.com/watch?v=lKzYzA2JZaI,purple_0006_scott_45439.mp4,skipped_no_ytdlp
7,45440,aslu,5,0,train,25,1,-1,334,50,955,720,https://www.youtube.com/watch?v=zgdzYtHB6jg,purple_0007_aslu_45440.mp4,skipped_no_ytdlp
8,45441,nabboud,68,0,val,25,1,-1,285,70,911,720,https://www.youtube.com/watch?v=zW5FrLEDRiM,purple_0008_nabboud_45441.mp4,skipped_no_ytdlp
9,66355,aslsignbank,101,0,train,25,1,-1,195,6,478,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/PU/PURPLE-989.mp4,purple_0009_aslsignbank_66355.mp4,failed
10,67114,asllex,109,0,train,25,1,-1,85,13,372,360,https://youtu.be/54csIWbS-Gc,purple_0010_asllex_67114.mp4,skipped_no_ytdlp
11,45442,aslpro,30,0,train,25,1,-1,0,11,217,240,http://www.aslpro.com/main/p/purple.swf,purple_0011_aslpro_45442.mp4,skipped_swf
12,45443,aslsearch,12,0,train,25,1,-1,153,54,563,400,http://www.aslsearch.com/signs/videos/purple.mp4,purple_0012_aslsearch_45443.mp4,ok
13,45433,spreadthesign,56,0,train,25,1,-1,21,0,266,240,https://media.spreadthesign.com/video/mp4/13/49224.mp4,purple_0013_spreadthesign_45433.mp4,ok
14,45434,startasl,36,0,train,25,1,-1,216,13,520,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/purple.mp4,purple_0014_startasl_45434.mp4,ok
15,45435,signschool,4,0,val,25,1,-1,286,36,1094,720,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Purple.mp4,purple_0015_signschool_45435.mp4,ok
16,45436,asldeafined,13,0,train,25,1,-1,174,3,535,480,https://media.asldeafined.com/vocabulary/1468757349.9136.mp4,purple_0016_asldeafined_45436.mp4,ok
17,45437,handspeak,20,0,train,25,1,-1,84,0,573,480,https://www.handspeak.com/word/p/purple.mp4,purple_0017_handspeak_45437.mp4,failed
