instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,46712,asl5200,9,0,test,25,1103,1169,0,0,360,240,https://www.youtube.com/watch?v=Qc7Dc_qF5NI,red_0000_asl5200_46712.mp4,skipped_no_ytdlp
1,69446,aslbrick,118,0,test,25,1,-1,387,41,871,720,http://aslbricks.org/New/ASL-Videos/red.mp4,red_0001_aslbrick_69446.mp4,ok
2,68664,lillybauer,111,0,train,25,1,36,343,12,895,720,https://www.youtube.com/watch?v=LQXoQ_I9Ku8,red_0002_lillybauer_68664.mp4,skipped_no_ytdlp
3,70239,northtexas,121,0,train,25,276,371,166,43,396,360,https://www.youtube.com/watch?v=WprUBqi3iBc,red_0003_northtexas_70239.mp4,skipped_no_ytdlp
4,46737,signingsavvy,11,0,val,25,1,-1,81,15,220,192,https://www.signingsavvy.com/signs/mp4/6/6859.mp4,red_0004_signingsavvy_46737.mp4,ok
5,46738,scott,47,0,val,25,1,-1,372,16,942,720,https://www.youtube.com/watch?v=EyKmo6RXVUU,red_0005_scott_46738.mp4,skipped_no_ytdlp
6,46739,nabboud,68,0,train,25,1,-1,390,70,879,720,https://www.youtube.com/watch?v=l8D2nUTgFiQ,red_0006_nabboud_46739.mp4,skipped_no_ytdlp
7,46740,aslu,5,0,train,25,1,-1,355,31,954,720,https://www.youtube.com/watch?v=pyW0OYYrZ7U,red_0007_aslu_46740.mp4,skipped_no_ytdlp
8,46731,spreadthesign,56,0,train,25,1,-1,56,0,262,240,https://media.spreadthesign.com/video/mp4/13/49271.mp4,red_0008_spreadthesign_46731.mp4,ok
9,67129,asllex,109,0,train,25,1,-1,103,27,374,360,https://youtu.be/HSl6KdDHUlg,red_0009_asllex_67129.mp4,skipped_no_ytdlp
10,46741,aslpro,24,0,val,25,1,-1,28,16,192,240,http://www.aslpro.com/main/r/red.swf,red_0010_aslpro_46741.mp4,skipped_swf
11,46742,aslsearch,12,0,train,25,1,-1,182,48,534,400,http://www.aslsearch.com/signs/videos/red.mp4,red_0011_aslsearch_46742.mp4,ok
12,46732,startasl,36,0,train,25,1,-1,229,15,518,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/red.mp4,red_0012_startasl_46732.mp4,ok
13,46733,signschool,4,0,train,25,1,-1,483,42,1077,712,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Red.mp4,red_0013_signschool_46733.mp4,ok
14,46734,asldeafined,13,0,train,25,1,-1,151,0,514,480,https://media.asldeafined.com/vocabulary/1468758865.1287.mp4,red_0014_asldeafined_46734.mp4,ok
15,46735,handspeak,14,0,train,25,1,-1,138,0,534,480,https://www.handspeak.com/word/r/red2.mp4,red_0015_handspeak_46735.mp4,failed
16,46736,handspeak,14,0,train,25,1,-1,136,0,540,480,https://www.handspeak.com/word/r/red.mp4,red_0016_handspeak_46736.mp4,failed
