instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,47485,asl5200,9,0,val,25,2418,2507,0,0,360,240,https://www.youtube.com/watch?v=Qc7Dc_qF5NI,research_0000_asl5200_47485.mp4,skipped_no_ytdlp
1,47495,handspeak,20,0,train,25,1,-1,61,0,276,240,https://www.handspeak.com/word/r/research.mp4,research_0001_handspeak_47495.mp4,failed
2,47496,signingsavvy,10,0,train,25,1,-1,66,24,192,192,https://www.signingsavvy.com/signs/mp4/23/23210.mp4,research_0002_signingsavvy_47496.mp4,ok
3,47497,aslu,5,0,train,25,1,-1,355,34,949,720,https://www.youtube.com/watch?v=_7Kl25XAHv0,research_0003_aslu_47497.mp4,skipped_no_ytdlp
4,47498,aslu,5,0,train,25,1,-1,329,31,953,720,https://www.youtube.com/watch?v=UTRYoKpNYDI,research_0004_aslu_47498.mp4,skipped_no_ytdlp
5,47499,aslpro,72,0,train,25,1,-1,3,6,235,240,http://www.aslpro.com/main/r/research_2.swf,research_0005_aslpro_47499.mp4,skipped_swf
6,66393,aslsignbank,103,0,train,25,1,-1,135,33,486,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/RE/RESEARCH-963.mp4,research_0006_aslsignbank_66393.mp4,failed
7,47490,elementalasl,19,0,train,25,1,-1,78,8,232,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/research.mov,research_0007_elementalasl_47490.mp4,ok
8,67136,asllex,109,0,train,25,1,-1,95,15,382,360,https://youtu.be/6qHMCkQKrUg,research_0008_asllex_67136.mp4,skipped_no_ytdlp
10,47501,aslsearch,41,0,test,25,1,-1,217,42,496,400,http://www.aslsearch.com/signs/videos/research.mp4,research_0010_aslsearch_47501.mp4,ok
12,47492,signschool,4,0,train,25,1,-1,678,53,1655,1078,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Research%2C%20Investigate-gIjCOB6HpNo.mp4,research_0012_signschool_47492.mp4,ok
13,47493,signschool,4,0,test,25,1,-1,690,44,1647,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Research-GEG5sDkVTBY.mp4,research_0013_signschool_47493.mp4,ok
14,47494,asldeafined,13,0,val,25,1,-1,128,0,551,480,https://media.asldeafined.com/vocabulary/1468760160.6145.mp4,research_0014_asldeafined_47494.mp4,ok
