instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
1,68142,valencia-asl,111,0,train,25,1,-1,190,0,603,480,https://www.youtube.com/watch?v=e1RF5h4OgOg,right_0001_valencia-asl_68142.mp4,skipped_no_ytdlp
3,48122,aslpro,24,0,train,25,1,-1,26,9,200,240,http://www.aslpro.com/main/r/right_correct.swf,right_0003_aslpro_48122.mp4,skipped_swf
4,48123,aslpro,44,1,val,25,1,-1,14,0,215,240,http://www.aslpro.com/main/r/right_direction.swf,right_0004_aslpro_48123.mp4,skipped_swf
5,48105,startasl,36,0,train,25,1,-1,222,16,525,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/right.mp4,right_0005_startasl_48105.mp4,ok
6,48124,aslsearch,12,0,val,25,1,-1,163,54,523,400,http://www.aslsearch.com/signs/videos/correct.mp4,right_0006_aslsearch_48124.mp4,ok
8,48126,aslsearch,12,1,test,25,1,-1,147,49,540,398,http://www.aslsearch.com/signs/videos/right.mp4,right_0008_aslsearch_48126.mp4,ok
9,48106,signschool,4,0,train,25,1,-1,500,46,1574,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Right%2C%20Correct-XhAAfS8YF4o.mp4,right_0009_signschool_48106.mp4,ok
10,48107,signschool,31,1,train,25,1,-1,663,79,1478,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Right-VC1zsuX_WU4.mp4,right_0010_signschool_48107.mp4,ok
11,48108,asldeafined,59,0,val,25,1,-1,126,24,523,480,https://media.asldeafined.com/vocabulary/1466903512.8429.mp4,right_0011_asldeafined_48108.mp4,ok
12,67143,asllex,109,1,train,25,1,-1,101,16,341,360,https://youtu.be/0AbAh8gsQZg,right_0012_asllex_67143.mp4,skipped_no_ytdlp
13,48109,asldeafined,13,1,train,25,1,-1,47,0,566,480,https://media.asldeafined.com/vocabulary/1468761005.7507.mp4,right_0013_asldeafined_48109.mp4,ok
15,48111,handspeak,14,0,train,25,1,-1,86,15,249,240,https://www.handspeak.com/word/r/right-correct2.mp4,right_0015_handspeak_48111.mp4,failed
16,48112,handspeak,14,1,val,25,1,-1,20,16,275,240,https://www.handspeak.com/word/r/right-dir.mp4,right_0016_handspeak_48112.mp4,failed
18,67142,asllex,109,0,train,25,1,-1,114,18,339,360,https://youtu.be/bmc1BJWo_Pw,right_0018_asllex_67142.mp4,skipped_no_ytdlp
19,48114,signingsavvy,10,1,train,25,1,-1,76,20,212,192,https://www.signingsavvy.com/signs/mp4/22/22624.mp4,right_0019_signingsavvy_48114.mp4,ok
20,48115,signingsavvy,11,0,test,25,1,-1,86,15,214,192,https://www.signingsavvy.com/signs/mp4/6/6234.mp4,right_0020_signingsavvy_48115.mp4,ok
22,48117,aslu,5,0,train,25,1,-1,353,46,958,720,https://www.youtube.com/watch?v=5UnUWDYxfv0,right_0022_aslu_48117.mp4,skipped_no_ytdlp
25,48120,aslu,5,1,train,25,1,-1,319,39,933,719,https://www.youtube.com/watch?v=mxX9mVMl8O4,right_0025_aslu_48120.mp4,skipped_no_ytdlp
