instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,48507,asl5200,9,0,test,25,3868,3930,0,0,360,240,https://www.youtube.com/watch?v=Qc7Dc_qF5NI,room_0000_asl5200_48507.mp4,skipped_no_ytdlp
1,48509,startasl,36,0,train,25,1,-1,180,18,581,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/room.mp4,room_0001_startasl_48509.mp4,ok
2,48510,signschool,6,1,test,25,1,-1,619,98,1515,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Room%2C%20Box-md_GwEQC3G8.mp4,room_0002_signschool_48510.mp4,ok
3,48511,signschool,6,0,train,25,1,-1,703,55,1544,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Room-c_wEkcZ2eqU.mp4,room_0003_signschool_48511.mp4,ok
4,48512,signschool,60,0,val,25,1,-1,265,22,784,480,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20room-eFVfYZffYLo.mp4,room_0004_signschool_48512.mp4,ok
5,48513,signschool,6,0,train,25,1,-1,422,33,1014,720,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Room%202.mp4,room_0005_signschool_48513.mp4,ok
6,48514,asldeafined,13,0,test,25,1,-1,134,0,587,480,https://media.asldeafined.com/vocabulary/1468761369.8817.mp4,room_0006_asldeafined_48514.mp4,ok
7,48515,handspeak,14,1,train,25,1,-1,111,3,595,480,https://www.handspeak.com/word/r/room.mp4,room_0007_handspeak_48515.mp4,failed
8,48516,signingsavvy,11,1,train,25,1,-1,56,9,215,192,https://www.signingsavvy.com/signs/mp4/9/9515.mp4,room_0008_signingsavvy_48516.mp4,ok
9,66415,aslsignbank,103,0,train,25,1,-1,136,29,579,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/RO/ROOM-242.mp4,room_0009_aslsignbank_66415.mp4,failed
10,66416,aslsignbank,103,0,train,25,1,-1,135,31,491,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/RO/ROOM-984.mp4,room_0010_aslsignbank_66416.mp4,failed
11,67149,asllex,109,0,train,25,1,-1,84,5,414,360,https://youtu.be/hdDYNPC93DM,room_0011_asllex_67149.mp4,skipped_no_ytdlp
12,48517,signingsavvy,11,0,train,25,1,-1,52,8,219,192,https://www.signingsavvy.com/signs/mp4/9/9516.mp4,room_0012_signingsavvy_48517.mp4,ok
13,48518,aslu,5,0,val,25,1,-1,169,9,500,360,https://www.youtube.com/watch?v=ByET2PW3OrQ,room_0013_aslu_48518.mp4,skipped_no_ytdlp
14,48519,nabboud,65,1,train,25,1,-1,307,87,867,720,https://www.youtube.com/watch?v=R60q-PBwY58,room_0014_nabboud_48519.mp4,skipped_no_ytdlp
15,48520,aslpro,87,1,train,25,1,-1,9,5,247,240,http://www.aslpro.com/main/r/room.swf,room_0015_aslpro_48520.mp4,skipped_swf
16,48521,aslsearch,41,1,val,25,1,-1,219,42,516,400,http://www.aslsearch.com/signs/videos/box.mp4,room_0016_aslsearch_48521.mp4,ok
