instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,50035,asl5200,9,0,train,25,1558,1617,0,0,360,240,https://www.youtube.com/watch?v=XB3Q6IX6CBo,secret_0000_asl5200_50035.mp4,skipped_no_ytdlp
2,50057,handspeak,14,0,train,25,1,-1,58,15,270,240,https://www.handspeak.com/word/s/secret.mp4,secret_0002_handspeak_50057.mp4,failed
3,50058,signingsavvy,10,0,train,25,1,-1,105,20,222,192,https://www.signingsavvy.com/signs/mp4/23/23301.mp4,secret_0003_signingsavvy_50058.mp4,ok
4,50059,signingsavvy,10,0,val,25,1,-1,98,21,216,192,https://www.signingsavvy.com/signs/mp4/23/23302.mp4,secret_0004_signingsavvy_50059.mp4,ok
6,50061,signingsavvy,10,0,train,25,1,-1,103,23,214,192,https://www.signingsavvy.com/signs/mp4/23/23304.mp4,secret_0006_signingsavvy_50061.mp4,ok
7,50062,aslu,5,0,train,25,1,-1,311,46,927,720,https://www.youtube.com/watch?v=ELNOdcy_1fE,secret_0007_aslu_50062.mp4,skipped_no_ytdlp
8,66440,aslsignbank,103,0,train,25,1,-1,164,34,483,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/SE/SECRET-1009.mp4,secret_0008_aslsignbank_66440.mp4,failed
9,50053,spreadthesign,26,0,train,25,1,-1,80,15,240,240,https://media.spreadthesign.com/video/mp4/13/310848.mp4,secret_0009_spreadthesign_50053.mp4,ok
10,67176,asllex,109,0,train,25,1,-1,100,28,382,360,https://youtu.be/bBajpj6dICs,secret_0010_asllex_67176.mp4,skipped_no_ytdlp
12,50064,aslu,5,0,test,25,1,-1,103,11,418,360,https://www.youtube.com/watch?v=L9TfGkTHI-w,secret_0012_aslu_50064.mp4,skipped_no_ytdlp
13,50065,aslpro,24,0,val,25,1,-1,27,15,190,240,http://www.aslpro.com/main/s/secret.swf,secret_0013_aslpro_50065.mp4,skipped_swf
14,50066,aslsearch,12,0,test,25,1,-1,193,50,562,400,http://www.aslsearch.com/signs/videos/secret.mp4,secret_0014_aslsearch_50066.mp4,ok
15,50054,signschool,31,0,train,25,1,-1,726,142,1462,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Secret-SGD613coMXA.mp4,secret_0015_signschool_50054.mp4,ok
16,50055,asldeafined,13,0,train,25,1,-1,143,0,527,480,https://media.asldeafined.com/vocabulary/1468764780.3618.mp4,secret_0016_asldeafined_50055.mp4,ok
