instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,51054,asl5200,9,0,train,25,3441,3497,0,0,360,240,https://www.youtube.com/watch?v=XB3Q6IX6CBo,shirt_0000_asl5200_51054.mp4,skipped_no_ytdlp
1,68928,lillybauer,115,0,train,25,1,56,328,24,921,720,https://www.youtube.com/watch?v=u7GIbrpxyFU,shirt_0001_lillybauer_68928.mp4,skipped_no_ytdlp
5,51057,startasl,36,0,train,25,1,-1,189,14,522,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/shirt.mp4,shirt_0005_startasl_51057.mp4,ok
7,51077,aslpro,72,1,test,25,1,-1,19,3,245,240,http://www.aslpro.com/main/s/shirt.swf,shirt_0007_aslpro_51077.mp4,skipped_swf
11,51081,aslsearch,12,0,val,25,1,-1,178,51,567,400,http://www.aslsearch.com/signs/videos/shirt.mp4,shirt_0011_aslsearch_51081.mp4,ok
12,51056,spreadthesign,63,1,train,25,1,-1,26,0,278,240,https://media.spreadthesign.com/video/mp4/13/50791.mp4,shirt_0012_spreadthesign_51056.mp4,ok
13,51058,startasl,36,0,train,25,1,-1,209,17,526,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/shirt-plaid.mp4,shirt_0013_startasl_51058.mp4,ok
14,51059,startasl,36,1,train,25,1,-1,231,13,575,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/shirt-vneck.mp4,shirt_0014_startasl_51059.mp4,ok
15,51060,signschool,32,1,train,25,1,-1,737,78,1666,1077,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Shirt-Mi3CHINu71M.mp4,shirt_0015_signschool_51060.mp4,ok
16,51061,asldeafined,13,0,train,25,1,-1,53,0,527,480,https://media.asldeafined.com/vocabulary/1468766065.7078.mp4,shirt_0016_asldeafined_51061.mp4,ok
18,51063,signingsavvy,10,0,train,25,1,-1,70,17,218,192,https://www.signingsavvy.com/signs/mp4/23/23615.mp4,shirt_0018_signingsavvy_51063.mp4,ok
19,51064,signingsavvy,10,0,train,25,1,-1,62,17,214,192,https://www.signingsavvy.com/signs/mp4/23/23616.mp4,shirt_0019_signingsavvy_51064.mp4,ok
21,67188,asllex,109,0,train,25,1,-1,74,14,445,360,https://youtu.be/lSqfurbjfDc,shirt_0021_asllex_67188.mp4,skipped_no_ytdlp
22,51066,signingsavvy,10,0,test,25,1,-1,65,17,213,192,https://www.signingsavvy.com/signs/mp4/23/23618.mp4,shirt_0022_signingsavvy_51066.mp4,ok
23,51067,signingsavvy,11,0,val,25,1,-1,65,12,216,192,https://www.signingsavvy.com/signs/mp4/6/6249.mp4,shirt_0023_signingsavvy_51067.mp4,ok
24,51068,signingsavvy,11,0,test,25,1,-1,71,14,224,192,https://www.signingsavvy.com/signs/mp4/7/7169.mp4,shirt_0024_signingsavvy_51068.mp4,ok
25,51069,aslu,5,0,train,25,1,-1,332,45,929,714,https://www.youtube.com/watch?v=4ln_5SQd__w,shirt_0025_aslu_51069.mp4,skipped_no_ytdlp
26,51070,nabboud,65,1,train,25,1,-1,326,90,882,720,https://www.youtube.com/watch?v=8dyicrBmgKE,shirt_0026_nabboud_51070.mp4,skipped_no_ytdlp
27,51071,aslu,5,1,val,25,1,-1,349,44,985,716,https://www.youtube.com/watch?v=9Rcg3QJiClc,shirt_0027_aslu_51071.mp4,skipped_no_ytdlp
28,51072,aslu,5,0,train,25,1,-1,311,37,1009,720,https://www.youtube.com/watch?v=i14EM0ZbtUY,shirt_0028_aslu_51072.mp4,skipped_no_ytdlp
