instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,66473,aslsignbank,103,0,test,25,1,-1,166,19,504,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/SH/SHOW-254.mp4,show_0000_aslsignbank_66473.mp4,failed
1,70231,northtexas,121,0,test,25,2747,2863,177,40,413,360,https://www.youtube.com/watch?v=4Nh1iFv2BMc,show_0001_northtexas_70231.mp4,skipped_no_ytdlp
2,51347,asldeafined,21,0,train,25,1,-1,84,1,559,480,https://media.asldeafined.com/vocabulary/1468378950.4291.mp4,show_0002_asldeafined_51347.mp4,ok
3,51348,asldeafined,13,0,train,25,1,-1,119,0,493,480,https://media.asldeafined.com/vocabulary/1468766573.2319.mp4,show_0003_asldeafined_51348.mp4,ok
4,51349,handspeak,14,0,val,25,1,-1,32,20,248,240,https://www.handspeak.com/word/s/show-all.mp4,show_0004_handspeak_51349.mp4,failed
5,51350,handspeak,14,0,val,25,1,-1,33,24,245,240,https://www.handspeak.com/word/s/show-each2.mp4,show_0005_handspeak_51350.mp4,failed
6,51351,handspeak,14,0,train,25,1,-1,36,25,258,240,https://www.handspeak.com/word/s/show-me-from-hir.mp4,show_0006_handspeak_51351.mp4,failed
7,51352,handspeak,14,0,train,25,1,-1,66,28,241,240,https://www.handspeak.com/word/s/show.mp4,show_0007_handspeak_51352.mp4,failed
8,51353,signingsavvy,11,0,train,25,1,-1,65,14,205,192,https://www.signingsavvy.com/signs/mp4/14/14243.mp4,show_0008_signingsavvy_51353.mp4,ok
10,51345,startasl,38,0,train,25,1,-1,436,55,837,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/show.mp4,show_0010_startasl_51345.mp4,ok
11,67195,asllex,109,0,val,25,1,-1,99,29,394,360,https://youtu.be/eWKXpuCp0x4,show_0011_asllex_67195.mp4,skipped_no_ytdlp
12,51355,signingsavvy,11,0,train,25,1,-1,69,12,217,192,https://www.signingsavvy.com/signs/mp4/9/9921.mp4,show_0012_signingsavvy_51355.mp4,ok
13,51356,signingsavvy,11,0,train,25,1,-1,57,8,215,192,https://www.signingsavvy.com/signs/mp4/9/9922.mp4,show_0013_signingsavvy_51356.mp4,ok
14,51357,aslu,5,0,train,25,1,-1,234,22,990,720,https://www.youtube.com/watch?v=3tywmZLwClQ,show_0014_aslu_51357.mp4,skipped_no_ytdlp
15,51358,aslpro,87,0,train,25,1,-1,15,6,224,240,http://www.aslpro.com/main/s/show.swf,show_0015_aslpro_51358.mp4,skipped_swf
17,51360,aslsearch,12,0,train,25,1,-1,190,50,540,400,http://www.aslsearch.com/signs/videos/show.mp4,show_0017_aslsearch_51360.mp4,ok
18,51346,signschool,32,0,train,25,1,-1,811,68,1646,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Show-ps1C5M4Q4vg.mp4,show_0018_signschool_51346.mp4,ok
