instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,52314,asl5200,9,0,train,25,5246,5288,0,0,360,240,https://www.youtube.com/watch?v=XB3Q6IX6CBo,sleep_0000_asl5200_52314.mp4,skipped_no_ytdlp
1,69479,aslbrick,115,0,train,25,1,-1,376,39,948,720,http://aslbricks.org/New/ASL-Videos/sleep.mp4,sleep_0001_aslbrick_69479.mp4,ok
2,68157,valencia-asl,109,0,train,25,1,-1,104,2,1151,720,https://www.youtube.com/watch?v=owZqXQaUs1Y,sleep_0002_valencia-asl_68157.mp4,skipped_no_ytdlp
3,68912,lillybauer,113,0,val,25,1,65,110,9,543,360,https://www.youtube.com/watch?v=tF8RVK7_7to,sleep_0003_lillybauer_68912.mp4,skipped_no_ytdlp
4,52324,aslsearch,12,0,train,25,1,-1,193,50,559,400,http://www.aslsearch.com/signs/videos/sleep.mp4,sleep_0004_aslsearch_52324.mp4,ok
5,52316,startasl,38,0,train,25,1,-1,444,68,854,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/sleep.mp4,sleep_0005_startasl_52316.mp4,ok
6,67212,asllex,109,0,train,25,1,-1,103,13,373,360,https://youtu.be/GSqWd9aVVQE,sleep_0006_asllex_67212.mp4,skipped_no_ytdlp
7,52317,signschool,6,0,train,25,1,-1,471,26,1008,720,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Sleep.mp4,sleep_0007_signschool_52317.mp4,ok
8,52318,asldeafined,13,0,train,25,1,-1,150,0,518,480,https://media.asldeafined.com/vocabulary/1468767820.767.mp4,sleep_0008_asldeafined_52318.mp4,ok
9,52319,handspeak,14,0,test,25,1,-1,144,0,556,480,https://www.handspeak.com/word/s/sleep.mp4,sleep_0009_handspeak_52319.mp4,failed
10,52320,signingsavvy,10,0,val,25,1,-1,94,16,206,192,https://www.signingsavvy.com/signs/mp4/23/23907.mp4,sleep_0010_signingsavvy_52320.mp4,ok
11,52321,nabboud,81,0,test,25,1,-1,387,72,827,720,https://www.youtube.com/watch?v=96RGtZix3QI,sleep_0011_nabboud_52321.mp4,skipped_no_ytdlp
12,52322,aslu,5,0,train,25,1,-1,374,37,956,720,https://www.youtube.com/watch?v=dXEqaWSEztY,sleep_0012_aslu_52322.mp4,skipped_no_ytdlp
13,52323,aslpro,25,0,train,25,1,-1,3,3,236,234,http://www.aslpro.com/main/s/sleep.swf,sleep_0013_aslpro_52323.mp4,skipped_swf
