instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,52550,asl5200,9,0,val,25,5439,5465,0,0,360,240,https://www.youtube.com/watch?v=XB3Q6IX6CBo,small_0000_asl5200_52550.mp4,skipped_no_ytdlp
1,52552,startasl,38,0,train,25,1,-1,423,53,816,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/small.mp4,small_0001_startasl_52552.mp4,ok
3,52554,signschool,32,0,train,25,1,-1,735,79,1622,1076,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Small-kzdYceSAd8Q.mp4,small_0003_signschool_52554.mp4,ok
4,52555,signschool,39,0,val,25,1,-1,654,133,1551,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Small-XyMBqE2og8k.mp4,small_0004_signschool_52555.mp4,ok
5,52556,signschool,32,0,train,25,1,-1,464,48,1098,720,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Small%202.mp4,small_0005_signschool_52556.mp4,ok
6,52557,asldeafined,13,0,train,25,1,-1,152,0,538,480,https://media.asldeafined.com/vocabulary/1468767996.7049.mp4,small_0006_asldeafined_52557.mp4,ok
7,52558,handspeak,20,0,train,25,1,-1,60,12,261,240,https://www.handspeak.com/word/s/small.mp4,small_0007_handspeak_52558.mp4,failed
8,52559,handspeak,14,0,train,25,1,-1,157,0,547,360,https://www.handspeak.com/word/s/small-so.mp4,small_0008_handspeak_52559.mp4,failed
9,67214,asllex,109,0,train,25,1,-1,88,18,370,360,https://youtu.be/VylICq68Dw0,small_0009_asllex_67214.mp4,skipped_no_ytdlp
10,52560,signingsavvy,11,0,test,25,1,-1,64,13,211,192,https://www.signingsavvy.com/signs/mp4/9/9559.mp4,small_0010_signingsavvy_52560.mp4,ok
12,52562,aslu,5,0,val,25,1,-1,329,37,952,720,https://www.youtube.com/watch?v=EppPfgPx5rI,small_0012_aslu_52562.mp4,skipped_no_ytdlp
14,52564,aslu,5,0,test,25,1,-1,170,14,492,360,https://www.youtube.com/watch?v=RKnUlZ8bOzs,small_0014_aslu_52564.mp4,skipped_no_ytdlp
15,52565,aslpro,87,0,train,25,1,-1,28,5,236,240,http://www.aslpro.com/main/s/small.swf,small_0015_aslpro_52565.mp4,skipped_swf
16,52566,aslsearch,41,0,train,25,1,-1,249,39,505,400,http://www.aslsearch.com/signs/videos/small.mp4,small_0016_aslsearch_52566.mp4,ok
17,52551,spreadthesign,0,0,train,25,1,-1,48,3,263,240,https://media.spreadthesign.com/video/mp4/13/58473.mp4,small_0017_spreadthesign_52551.mp4,ok
