instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,52913,asl5200,9,0,val,25,5947,5999,0,0,360,240,https://www.youtube.com/watch?v=XB3Q6IX6CBo,soap_0000_asl5200_52913.mp4,skipped_no_ytdlp
1,52924,aslu,5,0,train,25,1,-1,363,35,936,720,https://www.youtube.com/watch?v=Mx3VIN--nrk,soap_0001_aslu_52924.mp4,skipped_no_ytdlp
2,52925,aslpro,24,0,train,25,1,-1,17,14,195,240,http://www.aslpro.com/main/s/soap.swf,soap_0002_aslpro_52925.mp4,skipped_swf
3,52926,aslsearch,12,0,train,25,1,-1,211,54,546,400,http://www.aslsearch.com/signs/videos/soap.mp4,soap_0003_aslsearch_52926.mp4,ok
4,66522,aslsignbank,108,0,train,25,1,-1,193,42,474,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/SO/SOAP-1086.mp4,soap_0004_aslsignbank_66522.mp4,failed
5,52917,spreadthesign,63,0,train,25,1,-1,53,0,249,240,https://media.spreadthesign.com/video/mp4/13/50815.mp4,soap_0005_spreadthesign_52917.mp4,ok
6,67223,asllex,109,0,train,25,1,-1,112,0,398,360,https://youtu.be/4Z5rN40UdPg,soap_0006_asllex_67223.mp4,skipped_no_ytdlp
7,52918,startasl,38,0,train,25,1,-1,421,55,820,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/soap.mp4,soap_0007_startasl_52918.mp4,ok
8,52919,signschool,32,0,train,25,1,-1,770,59,1598,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Soap-pxwy2CQnsUI.mp4,soap_0008_signschool_52919.mp4,ok
9,52920,asldeafined,13,0,test,25,1,-1,128,0,506,480,https://media.asldeafined.com/vocabulary/1468775865.2499.mp4,soap_0009_asldeafined_52920.mp4,ok
10,52921,signingsavvy,11,0,train,25,1,-1,79,12,221,192,https://www.signingsavvy.com/signs/mp4/7/7002.mp4,soap_0010_signingsavvy_52921.mp4,ok
11,52922,nabboud,65,0,test,25,1,-1,341,85,854,720,https://www.youtube.com/watch?v=g5H65XRg3YI,soap_0011_nabboud_52922.mp4,skipped_no_ytdlp
12,52923,aslu,5,0,val,25,1,-1,371,35,934,720,https://www.youtube.com/watch?v=GQ3SAb7DnMw,soap_0012_aslu_52923.mp4,skipped_no_ytdlp
