instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,56157,asl5200,9,0,train,25,10946,11008,0,0,360,240,https://www.youtube.com/watch?v=XB3Q6IX6CBo,suspect_0000_asl5200_56157.mp4,skipped_no_ytdlp
1,56165,aslu,5,0,train,25,1,-1,318,33,945,716,https://www.youtube.com/watch?v=S83lsgiargY,suspect_0001_aslu_56165.mp4,skipped_no_ytdlp
2,56166,aslpro,24,0,train,25,1,-1,27,17,259,240,http://www.aslpro.com/main/s/suspect.swf,suspect_0002_aslpro_56166.mp4,skipped_swf
3,67269,asllex,109,0,val,25,1,-1,93,26,379,360,https://youtu.be/1MuwoWTs5sA,suspect_0003_asllex_67269.mp4,skipped_no_ytdlp
4,56167,aslsearch,41,0,train,25,1,-1,216,36,483,400,http://www.aslsearch.com/signs/videos/suspect.mp4,suspect_0004_aslsearch_56167.mp4,ok
5,56158,elementalasl,19,0,train,25,1,-1,75,4,227,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/suspect.mov,suspect_0005_elementalasl_56158.mp4,ok
6,56159,spreadthesign,2,0,train,25,1,-1,54,15,246,240,https://media.spreadthesign.com/video/mp4/13/89967.mp4,suspect_0006_spreadthesign_56159.mp4,ok
7,56160,signschool,4,0,train,25,1,-1,566,52,1609,1065,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Suspicion-BsWCR9-J5Ys.mp4,suspect_0007_signschool_56160.mp4,ok
8,56161,asldeafined,15,0,val,25,1,-1,116,39,518,480,https://media.asldeafined.com/vocabulary/1513524764.7061.mp4,suspect_0008_asldeafined_56161.mp4,ok
9,56162,handspeak,14,0,test,25,1,-1,138,0,536,480,https://www.handspeak.com/word/s/suspect.mp4,suspect_0009_handspeak_56162.mp4,failed
10,56163,signingsavvy,11,0,test,25,1,-1,50,10,218,192,https://www.signingsavvy.com/signs/mp4/14/14186.mp4,suspect_0010_signingsavvy_56163.mp4,ok
11,56164,aslu,5,0,train,25,1,-1,332,55,911,720,https://www.youtube.com/watch?v=FNa4tDZrIMA,suspect_0011_aslu_56164.mp4,skipped_no_ytdlp
