instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,56552,asl5200,9,0,test,25,24,80,0,0,360,240,https://www.youtube.com/watch?v=x6CehcknaH8,table_0000_asl5200_56552.mp4,skipped_no_ytdlp
1,70323,northtexas,121,0,val,25,4848,4943,118,32,296,240,https://www.youtube.com/watch?v=pc0-gVEETVg,table_0001_northtexas_70323.mp4,skipped_no_ytdlp
2,68972,lillybauer,115,0,val,25,1,54,316,0,998,720,https://www.youtube.com/watch?v=VQMheRBg2Mw,table_0002_lillybauer_68972.mp4,skipped_no_ytdlp
3,56573,aslpro,72,0,train,25,1,-1,0,8,235,240,http://www.aslpro.com//main/t/table_place_setting.swf,table_0003_aslpro_56573.mp4,skipped_swf
4,56574,aslpro,72,0,train,25,1,-1,0,9,236,240,http://www.aslpro.com//main/t/table_stacking.swf,table_0004_aslpro_56574.mp4,skipped_swf
6,56557,signschool,4,0,train,25,1,-1,558,75,1619,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Booth%2C%20Desk%2C%20Table-8QbAD7Y9UEk.mp4,table_0006_signschool_56557.mp4,ok
7,56576,aslpro,72,0,train,25,1,-1,0,4,242,240,http://www.aslpro.com//main/t/table_umbrella_and_chairs.swf,table_0007_aslpro_56576.mp4,skipped_swf
8,56577,aslpro,49,0,train,25,1,-1,0,4,240,240,http://www.aslpro.com//main/t/table_umbrella.swf,table_0008_aslpro_56577.mp4,skipped_swf
9,56578,aslpro,49,0,val,25,1,-1,6,11,230,240,http://www.aslpro.com//main/t/table_vanity.swf,table_0009_aslpro_56578.mp4,skipped_swf
10,56579,aslsearch,12,0,train,25,1,-1,159,60,542,400,http://www.aslsearch.com/signs/videos/counter2.mp4,table_0010_aslsearch_56579.mp4,ok
11,56558,asldeafined,13,0,train,25,1,-1,88,0,599,480,https://media.asldeafined.com/vocabulary/1468942806.9415.mp4,table_0011_asldeafined_56558.mp4,ok
13,56556,startasl,38,0,train,25,1,-1,374,52,810,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/table.mp4,table_0013_startasl_56556.mp4,ok
14,56560,handspeak,14,0,train,25,1,-1,40,0,536,480,https://www.handspeak.com/word/t/table.mp4,table_0014_handspeak_56560.mp4,failed
17,56563,signingsavvy,11,0,train,25,1,-1,65,18,213,192,https://www.signingsavvy.com/signs/mp4/9/9252.mp4,table_0017_signingsavvy_56563.mp4,ok
18,56564,nabboud,65,0,train,25,1,-1,318,87,864,720,https://www.youtube.com/watch?v=DB5oSxy6rrc,table_0018_nabboud_56564.mp4,skipped_no_ytdlp
20,67275,asllex,109,0,test,25,1,-1,111,20,408,360,https://youtu.be/XtP6_KGsQwE,table_0020_asllex_67275.mp4,skipped_no_ytdlp
21,56566,aslu,5,0,train,25,1,-1,260,35,1023,720,https://www.youtube.com/watch?v=mEgQI-DHntY,table_0021_aslu_56566.mp4,skipped_no_ytdlp
22,56567,aslu,5,0,test,25,1,-1,187,22,1025,720,https://www.youtube.com/watch?v=UJINxF1cSUA,table_0022_aslu_56567.mp4,skipped_no_ytdlp
23,56568,aslpro,72,0,train,25,1,-1,10,10,233,240,http://www.aslpro.com//main/t/table_coffee.swf,table_0023_aslpro_56568.mp4,skipped_swf
24,56569,aslpro,72,0,train,25,1,-1,7,8,227,240,http://www.aslpro.com//main/t/table_decorative.swf,table_0024_aslpro_56569.mp4,skipped_swf
26,56571,aslpro,72,0,train,25,1,-1,0,9,258,240,http://www.aslpro.com//main/t/table_folding.swf,table_0026_aslpro_56571.mp4,skipped_swf
