instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,56652,asl5200,9,0,train,25,81,123,0,0,360,240,https://www.youtube.com/watch?v=x6CehcknaH8,take_0000_asl5200_56652.mp4,skipped_no_ytdlp
1,69500,aslbrick,115,0,train,25,1,-1,166,43,952,720,http://aslbricks.org/New/ASL-Videos/take.mp4,take_0001_aslbrick_69500.mp4,ok
2,68228,lillybauer,113,0,train,25,1,47,35,5,1021,720,https://www.youtube.com/watch?v=2XukQ6DOr_g,take_0002_lillybauer_68228.mp4,skipped_no_ytdlp
3,56697,handspeak,14,0,val,25,1,-1,32,5,281,240,https://www.handspeak.com/word/t/take.mp4,take_0003_handspeak_56697.mp4,failed
4,56698,signingsavvy,11,0,train,25,1,-1,84,3,224,192,https://www.signingsavvy.com/signs/mp4/6/6074.mp4,take_0004_signingsavvy_56698.mp4,ok
5,56699,signingsavvy,11,0,train,25,1,-1,75,7,218,192,https://www.signingsavvy.com/signs/mp4/6/6075.mp4,take_0005_signingsavvy_56699.mp4,ok
6,56700,signingsavvy,11,1,train,25,1,-1,65,14,223,192,https://www.signingsavvy.com/signs/mp4/6/6854.mp4,take_0006_signingsavvy_56700.mp4,ok
7,56701,signingsavvy,11,1,test,25,1,-1,66,17,220,192,https://www.signingsavvy.com/signs/mp4/9/9094.mp4,take_0007_signingsavvy_56701.mp4,ok
8,56692,spreadthesign,0,0,train,25,1,-1,50,14,246,240,https://media.spreadthesign.com/video/mp4/13/63592.mp4,take_0008_spreadthesign_56692.mp4,ok
9,56702,signingsavvy,11,1,val,25,1,-1,67,13,219,192,https://www.signingsavvy.com/signs/mp4/9/9145.mp4,take_0009_signingsavvy_56702.mp4,ok
10,56703,aslpro,25,0,train,25,1,-1,0,7,230,240,http://www.aslpro.com/main/t/take.swf,take_0010_aslpro_56703.mp4,skipped_swf
11,56704,aslsearch,12,1,train,25,1,-1,177,46,579,400,http://www.aslsearch.com/signs/videos/accept.mp4,take_0011_aslsearch_56704.mp4,ok
12,56705,aslsearch,12,0,val,25,1,-1,196,52,574,400,http://www.aslsearch.com/signs/videos/take.mp4,take_0012_aslsearch_56705.mp4,ok
13,56693,startasl,38,0,test,25,1,-1,432,53,827,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/take.mp4,take_0013_startasl_56693.mp4,ok
14,56694,asldeafined,13,1,train,25,1,-1,130,0,578,480,https://media.asldeafined.com/vocabulary/1468942967.4684.mp4,take_0014_asldeafined_56694.mp4,ok
15,56695,handspeak,20,0,test,25,1,-1,30,26,278,240,https://www.handspeak.com/word/t/take-hir.mp4,take_0015_handspeak_56695.mp4,failed
16,56696,handspeak,20,0,train,25,1,-1,46,26,280,240,https://www.handspeak.com/word/t/take-me.mp4,take_0016_handspeak_56696.mp4,failed
