instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,56835,asl5200,9,0,test,25,258,310,0,0,360,240,https://www.youtube.com/watch?v=x6CehcknaH8,tall_0000_asl5200_56835.mp4,skipped_no_ytdlp
1,56851,aslpro,24,0,train,25,1,-1,0,0,211,240,http://www.aslpro.com/main/t/tall.swf,tall_0001_aslpro_56851.mp4,skipped_swf
2,56852,aslsearch,12,1,train,25,1,-1,205,53,569,400,http://www.aslsearch.com/signs/videos/tall.mp4,tall_0002_aslsearch_56852.mp4,ok
3,56838,startasl,36,1,train,25,1,-1,182,1,526,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/tall.mp4,tall_0003_startasl_56838.mp4,ok
4,56839,signschool,32,0,train,25,1,-1,620,70,1619,1070,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Big%2C%20Giant%2C%20Tall%2C%20Adult%2C%20Grown-up-oXwKsrsVUE8.mp4,tall_0004_signschool_56839.mp4,ok
5,56840,signschool,32,0,val,25,1,-1,409,38,1075,720,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Big%2C%20Giant%2C%20Tall--OCW9K2ZzVY.mp4,tall_0005_signschool_56840.mp4,ok
6,56841,signschool,6,0,train,25,1,-1,451,55,1451,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Tall-8d940gDDaKI.mp4,tall_0006_signschool_56841.mp4,ok
7,56842,signschool,31,1,train,25,1,-1,683,64,1554,1075,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Tall-WKv937oqhW8.mp4,tall_0007_signschool_56842.mp4,ok
8,56843,asldeafined,13,0,test,25,1,-1,73,0,557,480,https://media.asldeafined.com/vocabulary/1468943060.7425.mp4,tall_0008_asldeafined_56843.mp4,ok
9,56844,asldeafined,34,1,train,25,1,-1,146,19,549,480,https://media.asldeafined.com/vocabulary/1546575217.9786.mp4,tall_0009_asldeafined_56844.mp4,ok
10,56845,handspeak,14,1,val,25,1,-1,112,0,516,480,https://www.handspeak.com/word/t/tall.mp4,tall_0010_handspeak_56845.mp4,failed
11,66591,aslsignbank,88,1,val,25,1,-1,163,10,468,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/TA/TALL_1-1174.mp4,tall_0011_aslsignbank_66591.mp4,failed
12,56846,signingsavvy,11,0,train,25,1,-1,35,0,220,192,https://www.signingsavvy.com/signs/mp4/14/14373.mp4,tall_0012_signingsavvy_56846.mp4,ok
13,66592,aslsignbank,93,0,train,25,1,-1,135,19,462,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/TA/TALL_2-411.mp4,tall_0013_aslsignbank_66592.mp4,failed
14,56837,spreadthesign,63,1,train,25,1,-1,64,0,264,240,https://media.spreadthesign.com/video/mp4/13/50853.mp4,tall_0014_spreadthesign_56837.mp4,ok
15,67278,asllex,109,1,test,25,1,-1,98,10,387,360,https://youtu.be/qk-or6jz0Hk,tall_0015_asllex_67278.mp4,skipped_no_ytdlp
16,67279,asllex,109,0,train,25,1,-1,86,14,377,360,https://youtu.be/sT8fYiXBtZE,tall_0016_asllex_67279.mp4,skipped_no_ytdlp
18,56848,signingsavvy,11,1,train,25,1,-1,65,10,211,192,https://www.signingsavvy.com/signs/mp4/8/8777.mp4,tall_0018_signingsavvy_56848.mp4,ok
19,56849,aslu,5,0,train,25,1,-1,159,15,910,720,https://www.youtube.com/watch?v=3FdpwAJlbaU,tall_0019_aslu_56849.mp4,skipped_no_ytdlp
20,56850,aslu,5,0,val,25,1,-1,128,22,938,720,https://www.youtube.com/watch?v=orl2KrOMEIQ,tall_0020_aslu_56850.mp4,skipped_no_ytdlp
