instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
1,69092,lillybauer,112,0,train,25,1,49,302,27,918,720,https://www.youtube.com/watch?v=ZxOqr6aCVLc,thanksgiving_0001_lillybauer_69092.mp4,skipped_no_ytdlp
2,57645,aslu,5,0,train,25,1,-1,307,24,952,720,https://www.youtube.com/watch?v=SX3ppKcVdKA,thanksgiving_0002_aslu_57645.mp4,skipped_no_ytdlp
3,57646,aslpro,24,1,test,25,1,-1,5,14,238,240,http://www.aslpro.com/main/t/thanksgiving.swf,thanksgiving_0003_aslpro_57646.mp4,skipped_swf
4,57628,elementalasl,19,1,val,25,1,-1,79,10,242,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/thanksgiving.mov,thanksgiving_0004_elementalasl_57628.mp4,ok
5,57647,aslsearch,12,0,train,25,1,-1,171,50,538,400,http://www.aslsearch.com/signs/videos/thanksgiving.mp4,thanksgiving_0005_aslsearch_57647.mp4,ok
6,57629,spreadthesign,2,0,val,25,1,-1,41,13,251,240,https://media.spreadthesign.com/video/mp4/13/244790.mp4,thanksgiving_0006_spreadthesign_57629.mp4,ok
7,57630,startasl,38,0,train,25,1,-1,402,56,823,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/thanksgiving2.mp4,thanksgiving_0007_startasl_57630.mp4,ok
8,57631,startasl,38,1,train,25,1,-1,406,54,825,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/thanksgiving.mp4,thanksgiving_0008_startasl_57631.mp4,ok
9,57632,signschool,4,0,train,25,1,-1,689,87,1577,1074,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Thanksgiving-jCauWIb_KEw.mp4,thanksgiving_0009_signschool_57632.mp4,ok
10,57633,asldeafined,13,1,train,25,1,-1,131,0,560,480,https://media.asldeafined.com/vocabulary/1468944257.5323.mp4,thanksgiving_0010_asldeafined_57633.mp4,ok
11,57634,asldeafined,15,0,train,25,1,-1,121,31,528,480,https://media.asldeafined.com/vocabulary/1522763808.287.mp4,thanksgiving_0011_asldeafined_57634.mp4,ok
12,67292,asllex,109,0,train,25,1,-1,104,13,354,360,https://youtu.be/3PcHDlj9WEc,thanksgiving_0012_asllex_67292.mp4,skipped_no_ytdlp
13,57635,asldeafined,15,0,train,25,1,-1,150,24,521,480,https://media.asldeafined.com/vocabulary/1522763837.9158.mp4,thanksgiving_0013_asldeafined_57635.mp4,ok
14,57636,handspeak,14,1,train,25,1,-1,77,0,582,480,https://www.handspeak.com/word/t/thanksgiving-ca.mp4,thanksgiving_0014_handspeak_57636.mp4,failed
15,57637,handspeak,14,0,test,25,1,-1,82,0,547,480,https://www.handspeak.com/word/t/thanksgiving-us.mp4,thanksgiving_0015_handspeak_57637.mp4,failed
16,57638,signingsavvy,10,1,train,25,1,-1,94,19,238,192,https://www.signingsavvy.com/signs/mp4/23/23272.mp4,thanksgiving_0016_signingsavvy_57638.mp4,ok
17,57639,signingsavvy,10,0,val,25,1,-1,66,15,209,192,https://www.signingsavvy.com/signs/mp4/23/23652.mp4,thanksgiving_0017_signingsavvy_57639.mp4,ok
18,57640,signingsavvy,10,0,test,25,1,-1,65,16,209,192,https://www.signingsavvy.com/signs/mp4/23/23653.mp4,thanksgiving_0018_signingsavvy_57640.mp4,ok
19,57641,signingsavvy,11,0,train,25,1,-1,64,16,214,192,https://www.signingsavvy.com/signs/mp4/9/9026.mp4,thanksgiving_0019_signingsavvy_57641.mp4,ok
20,57642,aslu,5,1,train,25,1,-1,354,14,1028,720,https://www.youtube.com/watch?v=2wmuIc7XVUY,thanksgiving_0020_aslu_57642.mp4,skipped_no_ytdlp
21,57643,aslu,5,0,train,25,1,-1,332,25,936,720,https://www.youtube.com/watch?v=eyaWHo4EwPQ,thanksgiving_0021_aslu_57643.mp4,skipped_no_ytdlp
