instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,58933,asl5200,9,0,train,25,4066,4095,0,0,360,240,https://www.youtube.com/watch?v=x6CehcknaH8,top_0000_asl5200_58933.mp4,skipped_no_ytdlp
1,70165,northtexas,121,0,train,25,4364,4524,116,20,522,480,https://www.youtube.com/watch?v=F5Wef1_PtLk,top_0001_northtexas_70165.mp4,skipped_no_ytdlp
2,58943,aslpro,87,0,train,25,1,-1,15,19,235,240,http://www.aslpro.com/main/t/top.swf,top_0002_aslpro_58943.mp4,skipped_swf
3,58944,aslsearch,12,0,val,25,1,-1,162,49,540,400,http://www.aslsearch.com/signs/videos/top.mp4,top_0003_aslsearch_58944.mp4,ok
4,66658,aslsignbank,98,0,train,25,1,-1,136,34,471,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/TO/TOP-1256.mp4,top_0004_aslsignbank_66658.mp4,failed
5,58935,spreadthesign,26,0,train,25,1,-1,71,14,240,240,https://media.spreadthesign.com/video/mp4/13/310706.mp4,top_0005_spreadthesign_58935.mp4,ok
6,58936,signschool,6,0,train,25,1,-1,717,39,1605,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Top-Cod-qUhOJTA.mp4,top_0006_signschool_58936.mp4,ok
7,58937,asldeafined,13,0,train,25,1,-1,146,0,595,480,https://media.asldeafined.com/vocabulary/1468946137.5185.mp4,top_0007_asldeafined_58937.mp4,ok
8,58938,handspeak,14,0,val,25,1,-1,43,0,583,480,https://www.handspeak.com/word/t/top-best.mp4,top_0008_handspeak_58938.mp4,failed
9,58939,handspeak,14,0,test,25,1,-1,1,0,581,480,https://www.handspeak.com/word/t/top.mp4,top_0009_handspeak_58939.mp4,failed
10,58940,signingsavvy,10,0,test,25,1,-1,48,23,202,192,https://www.signingsavvy.com/signs/mp4/22/22280.mp4,top_0010_signingsavvy_58940.mp4,ok
12,58942,aslu,5,0,train,25,1,-1,186,20,1007,720,https://www.youtube.com/watch?v=eFsZ6FwpX8g,top_0012_aslu_58942.mp4,skipped_no_ytdlp
