instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,59143,asl5200,9,0,test,25,4562,4611,0,0,360,240,https://www.youtube.com/watch?v=x6CehcknaH8,town_0000_asl5200_59143.mp4,skipped_no_ytdlp
1,70191,northtexas,121,0,train,25,3670,3793,129,32,463,480,https://www.youtube.com/watch?v=2DblIQ5n6xk,town_0001_northtexas_70191.mp4,skipped_no_ytdlp
2,59154,aslpro,83,1,test,25,1,-1,3,13,227,240,http://www.aslpro.com/main/t/town.swf,town_0002_aslpro_59154.mp4,skipped_swf
3,59155,aslsearch,12,0,train,25,1,-1,200,56,557,400,http://www.aslsearch.com/signs/videos/city.mp4,town_0003_aslsearch_59155.mp4,ok
4,66661,aslsignbank,98,1,val,25,1,-1,158,35,475,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/TO/TOWN-1294.mp4,town_0004_aslsignbank_66661.mp4,failed
5,59146,elementalasl,19,0,train,25,1,-1,82,11,250,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/city.mov,town_0005_elementalasl_59146.mp4,ok
6,59147,spreadthesign,56,1,train,25,1,-1,42,0,275,240,https://media.spreadthesign.com/video/mp4/13/50915.mp4,town_0006_spreadthesign_59147.mp4,ok
7,59148,signschool,6,0,train,25,1,-1,647,91,1545,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Town%20(Continuous%20Houses)-TIMp5tTh258.mp4,town_0007_signschool_59148.mp4,ok
8,59149,signschool,6,1,train,25,1,-1,656,87,1559,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Town%20(Multiple%20Houses)-FGRo_ytJ49g.mp4,town_0008_signschool_59149.mp4,ok
9,59150,signschool,31,0,val,25,1,-1,641,71,1784,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Town-tH3t7LWmTfc.mp4,town_0009_signschool_59150.mp4,ok
10,59151,asldeafined,13,1,train,25,1,-1,165,0,536,480,https://media.asldeafined.com/vocabulary/1468946299.1647.mp4,town_0010_asldeafined_59151.mp4,ok
11,59152,handspeak,20,1,train,25,1,-1,43,9,282,240,https://www.handspeak.com/word/t/town.mp4,town_0011_handspeak_59152.mp4,failed
12,59153,signingsavvy,11,1,train,25,1,-1,73,3,221,192,https://www.signingsavvy.com/signs/mp4/6/6001.mp4,town_0012_signingsavvy_59153.mp4,ok
