instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,61913,asl5200,9,0,train,25,806,878,0,0,360,240,https://www.youtube.com/watch?v=cP1FdT_zo7U,voice_0000_asl5200_61913.mp4,skipped_no_ytdlp
1,61919,handspeak,14,0,train,25,1,-1,34,2,270,240,https://www.handspeak.com/word/v/voice.mp4,voice_0001_handspeak_61919.mp4,failed
2,61920,signingsavvy,11,0,train,25,1,-1,82,14,214,192,https://www.signingsavvy.com/signs/mp4/6/6311.mp4,voice_0002_signingsavvy_61920.mp4,ok
3,61921,signingsavvy,11,0,val,25,1,-1,70,10,208,192,https://www.signingsavvy.com/signs/mp4/9/9624.mp4,voice_0003_signingsavvy_61921.mp4,ok
4,61922,aslu,5,0,train,25,1,-1,289,0,914,720,https://www.youtube.com/watch?v=PAUz1WCt5O8,voice_0004_aslu_61922.mp4,skipped_no_ytdlp
5,66736,aslsignbank,100,0,train,25,1,-1,200,28,473,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/VO/VOICE-1401.mp4,voice_0005_aslsignbank_66736.mp4,failed
6,67031,asllex,109,0,train,25,1,-1,108,27,371,360,https://youtu.be/-TIOtCHeAE8,voice_0006_asllex_67031.mp4,skipped_no_ytdlp
7,61923,aslpro,83,0,train,25,1,-1,1,13,216,240,http://www.aslpro.com/main/v/voice.swf,voice_0007_aslpro_61923.mp4,skipped_swf
8,61924,aslsearch,41,0,train,25,1,-1,233,38,487,400,http://www.aslsearch.com/signs/videos/voice.mp4,voice_0008_aslsearch_61924.mp4,ok
9,61914,elementalasl,19,0,test,25,1,-1,83,9,225,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/voice.mov,voice_0009_elementalasl_61914.mp4,ok
10,61915,spreadthesign,2,0,val,25,1,-1,65,42,221,240,https://media.spreadthesign.com/video/mp4/13/90181.mp4,voice_0010_spreadthesign_61915.mp4,ok
11,61916,signschool,4,0,test,25,1,-1,732,65,1637,1067,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Voice%202-sa_ms6mP1t0.mp4,voice_0011_signschool_61916.mp4,ok
12,61917,signschool,4,0,train,25,1,-1,725,69,1586,1071,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Voice-769ZQVKG_Yg.mp4,voice_0012_signschool_61917.mp4,ok
13,61918,asldeafined,13,0,train,25,1,-1,156,0,530,480,https://media.asldeafined.com/vocabulary/1468926716.6741.mp4,voice_0013_asldeafined_61918.mp4,ok
