instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,62241,asl5200,9,0,test,25,297,346,0,0,360,240,https://www.youtube.com/watch?v=A5dihMAjeTE,want_0000_asl5200_62241.mp4,skipped_no_ytdlp
1,69524,aslbrick,118,0,val,25,1,-1,341,40,911,720,http://aslbricks.org/New/ASL-Videos/want.mp4,want_0001_aslbrick_69524.mp4,ok
2,68178,valencia-asl,109,0,train,25,1,-1,279,17,1047,720,https://www.youtube.com/watch?v=co7zdtkJW1E,want_0002_valencia-asl_68178.mp4,skipped_no_ytdlp
3,68540,lillybauer,112,0,train,25,1,38,348,22,924,720,https://www.youtube.com/watch?v=I0v6P6HEGCA,want_0003_lillybauer_68540.mp4,skipped_no_ytdlp
4,62246,startasl,36,0,train,25,1,-1,239,13,528,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/want.mp4,want_0004_startasl_62246.mp4,ok
5,62247,signschool,4,0,test,25,1,-1,387,30,1043,720,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Want%20copy.mp4,want_0005_signschool_62247.mp4,ok
6,62248,asldeafined,13,0,train,25,1,-1,141,0,562,480,https://media.asldeafined.com/vocabulary/1468926945.7263.mp4,want_0006_asldeafined_62248.mp4,ok
7,62249,handspeak,14,0,train,25,1,-1,39,0,254,240,https://www.handspeak.com/word/w/want.mp4,want_0007_handspeak_62249.mp4,failed
8,62250,signingsavvy,11,0,train,25,1,-1,77,15,234,192,https://www.signingsavvy.com/signs/mp4/6/6971.mp4,want_0008_signingsavvy_62250.mp4,ok
9,62251,signingsavvy,11,0,train,25,1,-1,83,15,225,192,https://www.signingsavvy.com/signs/mp4/6/6972.mp4,want_0009_signingsavvy_62251.mp4,ok
11,62253,aslu,5,0,train,25,1,-1,93,19,424,360,https://www.youtube.com/watch?v=aGzNpjV6-0I,want_0011_aslu_62253.mp4,skipped_no_ytdlp
12,62244,spreadthesign,56,0,val,25,1,-1,51,0,272,240,https://media.spreadthesign.com/video/mp4/13/50936.mp4,want_0012_spreadthesign_62244.mp4,ok
13,67038,asllex,109,0,train,25,1,-1,112,20,342,360,https://youtu.be/Xl2VNuFGexI,want_0013_asllex_67038.mp4,skipped_no_ytdlp
14,62254,aslu,5,0,val,25,1,-1,295,44,995,720,https://www.youtube.com/watch?v=aGzNpjV6-0I,want_0014_aslu_62254.mp4,skipped_no_ytdlp
16,62256,nabboud,69,0,train,25,1,-1,326,58,891,720,https://www.youtube.com/watch?v=fBVbr5ci0EQ,want_0016_nabboud_62256.mp4,skipped_no_ytdlp
17,62257,nabboud,7,0,train,25,1,-1,369,90,886,720,https://www.youtube.com/watch?v=nI-XX3BtUlQ,want_0017_nabboud_62257.mp4,skipped_no_ytdlp
18,62258,aslpro,87,0,train,25,1,-1,19,5,230,240,http://www.aslpro.com/main/w/want.swf,want_0018_aslpro_62258.mp4,skipped_swf
19,62259,aslsearch,41,0,train,25,1,-1,232,39,498,400,http://www.aslsearch.com/signs/videos/want.mp4,want_0019_aslsearch_62259.mp4,ok
20,62245,startasl,38,0,train,25,1,-1,416,57,807,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/want-2.mp4,want_0020_startasl_62245.mp4,ok
