instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,62728,asl5200,9,0,test,25,1344,1380,0,0,360,240,https://www.youtube.com/watch?v=A5dihMAjeTE,week_0000_asl5200_62728.mp4,skipped_no_ytdlp
1,68740,lillybauer,113,0,test,25,1,100,236,46,981,720,https://www.youtube.com/watch?v=nOy7xS2b3WI,week_0001_lillybauer_68740.mp4,skipped_no_ytdlp
2,70304,northtexas,121,0,train,25,552,672,101,22,277,240,https://www.youtube.com/watch?v=pc0-gVEETVg,week_0002_northtexas_70304.mp4,skipped_no_ytdlp
3,62744,handspeak,14,0,train,25,1,-1,67,11,259,240,https://www.handspeak.com/word/w/week.mp4,week_0003_handspeak_62744.mp4,failed
4,62746,signingsavvy,11,0,val,25,1,-1,69,17,214,192,https://www.signingsavvy.com/signs/mp4/6/6752.mp4,week_0004_signingsavvy_62746.mp4,ok
5,62747,signingsavvy,11,0,val,25,1,-1,58,14,226,192,https://www.signingsavvy.com/signs/mp4/7/7600.mp4,week_0005_signingsavvy_62747.mp4,ok
6,62748,signingsavvy,11,0,train,25,1,-1,64,12,229,192,https://www.signingsavvy.com/signs/mp4/7/7602.mp4,week_0006_signingsavvy_62748.mp4,ok
7,62749,aslu,5,0,train,25,1,-1,371,42,957,720,https://www.youtube.com/watch?v=N6giWOcMj2U,week_0007_aslu_62749.mp4,skipped_no_ytdlp
8,66759,aslsignbank,100,0,train,25,1,-1,201,29,481,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WE/WEEK-1418.mp4,week_0008_aslsignbank_66759.mp4,failed
9,62740,spreadthesign,56,0,train,25,1,-1,30,0,280,240,https://media.spreadthesign.com/video/mp4/13/50954.mp4,week_0009_spreadthesign_62740.mp4,ok
10,67052,asllex,109,0,val,25,1,-1,102,14,380,360,https://youtu.be/H5GXBfRMT3M,week_0010_asllex_67052.mp4,skipped_no_ytdlp
11,62750,aslu,5,0,train,25,1,-1,371,42,954,720,https://www.youtube.com/watch?v=pdR4hpKqlNg,week_0011_aslu_62750.mp4,skipped_no_ytdlp
12,62751,aslpro,24,0,train,25,1,-1,23,19,206,240,http://www.aslpro.com/main/w/week.swf,week_0012_aslpro_62751.mp4,skipped_swf
13,62752,aslsearch,12,0,train,25,1,-1,214,56,570,400,http://www.aslsearch.com/signs/videos/week.mp4,week_0013_aslsearch_62752.mp4,ok
14,62741,startasl,36,0,train,25,1,-1,219,12,543,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/week.mp4,week_0014_startasl_62741.mp4,ok
15,62742,signschool,31,0,train,25,1,-1,749,132,1537,1069,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20One%20Week-XnuAfLiLbHs.mp4,week_0015_signschool_62742.mp4,ok
16,62743,asldeafined,13,0,train,25,1,-1,93,0,532,480,https://media.asldeafined.com/vocabulary/1468927577.4501.mp4,week_0016_asldeafined_62743.mp4,ok
