instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,62944,asl5200,9,0,val,25,1748,1780,0,0,360,240,https://www.youtube.com/watch?v=A5dihMAjeTE,what_0000_asl5200_62944.mp4,skipped_no_ytdlp
1,69531,aslbrick,118,1,val,25,1,-1,155,34,1067,720,http://aslbricks.org/New/ASL-Videos/what.mp4,what_0001_aslbrick_69531.mp4,ok
3,68330,lillybauer,115,1,train,25,1,55,342,10,960,720,https://www.youtube.com/watch?v=AK26EQRsH7k,what_0003_lillybauer_68330.mp4,skipped_no_ytdlp
5,62967,signschool,39,0,test,25,1,-1,766,98,1727,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20What%202-xFO06HB3kFs.mp4,what_0005_signschool_62967.mp4,ok
7,62968,signschool,32,1,train,25,1,-1,333,61,1614,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20What-tzER8F2xbB0.mp4,what_0007_signschool_62968.mp4,ok
8,62982,nabboud,80,1,train,25,1,-1,311,119,890,720,https://www.youtube.com/watch?v=M1gXuGSWqVI,what_0008_nabboud_62982.mp4,skipped_no_ytdlp
11,62970,asldeafined,13,1,train,25,1,-1,78,9,560,480,https://media.asldeafined.com/vocabulary/1468927879.8532.mp4,what_0011_asldeafined_62970.mp4,ok
12,62984,aslu,5,1,train,25,1,-1,228,11,953,720,https://www.youtube.com/watch?v=sSdQWC7mUZc,what_0012_aslu_62984.mp4,skipped_no_ytdlp
13,62971,handspeak,14,0,train,25,1,-1,181,0,501,360,https://www.handspeak.com/word/w/what2.mp4,what_0013_handspeak_62971.mp4,failed
14,66769,aslsignbank,88,0,train,25,1,-1,173,7,480,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WH/WHAT-1425.mp4,what_0014_aslsignbank_66769.mp4,failed
15,67057,asllex,109,1,train,25,1,-1,43,19,399,360,https://youtu.be/sbODkAcZ5Mw,what_0015_asllex_67057.mp4,skipped_no_ytdlp
18,62986,aslpro,30,1,train,25,1,-1,4,15,236,240,http://www.aslpro.com/main/w/what.swf,what_0018_aslpro_62986.mp4,skipped_swf
19,62973,handspeak,14,1,train,25,1,-1,166,0,520,360,https://www.handspeak.com/word/w/what.mp4,what_0019_handspeak_62973.mp4,failed
20,62987,aslsearch,12,1,test,25,1,-1,159,58,577,400,http://www.aslsearch.com/signs/videos/what2.mp4,what_0020_aslsearch_62987.mp4,ok
21,62964,spreadthesign,42,1,train,25,1,-1,50,0,280,240,https://media.spreadthesign.com/video/mp4/13/51095.mp4,what_0021_spreadthesign_62964.mp4,ok
22,67058,asllex,109,0,train,25,1,-1,50,20,430,360,https://youtu.be/XO9Lq5Gyuaw,what_0022_asllex_67058.mp4,skipped_no_ytdlp
24,62988,aslsearch,12,0,val,25,1,-1,185,61,560,400,http://www.aslsearch.com/signs/videos/what.mp4,what_0024_aslsearch_62988.mp4,ok
25,62975,signingsavvy,10,1,test,25,1,-1,52,24,246,192,https://www.signingsavvy.com/signs/mp4/23/23463.mp4,what_0025_signingsavvy_62975.mp4,ok
27,62965,startasl,36,1,val,25,1,-1,179,13,606,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/what.mp4,what_0027_startasl_62965.mp4,ok
28,62979,signingsavvy,11,0,train,25,1,-1,77,2,231,192,https://www.signingsavvy.com/signs/mp4/5/5985.mp4,what_0028_signingsavvy_62979.mp4,ok
29,62966,signschool,4,0,train,25,1,-1,509,75,1631,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20What-0SsXCKwjrpA.mp4,what_0029_signschool_62966.mp4,ok
