instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,63191,asl5200,9,0,test,25,2112,2158,0,0,360,240,https://www.youtube.com/watch?v=A5dihMAjeTE,white_0000_asl5200_63191.mp4,skipped_no_ytdlp
1,69533,aslbrick,118,0,val,25,1,-1,366,40,875,720,http://aslbricks.org/New/ASL-Videos/white.mp4,white_0001_aslbrick_69533.mp4,ok
2,68622,lillybauer,115,0,train,25,1,44,337,4,904,720,https://www.youtube.com/watch?v=kddq0oAgBS0,white_0002_lillybauer_68622.mp4,skipped_no_ytdlp
3,68182,valencia-asl,110,0,train,25,1,-1,214,0,603,480,https://www.youtube.com/watch?v=TomJbyh-XVY,white_0003_valencia-asl_68182.mp4,skipped_no_ytdlp
4,70245,northtexas,121,0,train,25,1285,1384,160,43,395,360,https://www.youtube.com/watch?v=WprUBqi3iBc,white_0004_northtexas_70245.mp4,skipped_no_ytdlp
5,63204,signschool,6,0,train,25,1,-1,745,44,1532,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20White-PWGruSSI30c.mp4,white_0005_signschool_63204.mp4,ok
6,63205,asldeafined,13,0,train,25,1,-1,109,5,519,480,https://media.asldeafined.com/vocabulary/1468928266.3449.mp4,white_0006_asldeafined_63205.mp4,ok
7,63206,handspeak,20,0,train,25,1,-1,112,0,497,480,https://www.handspeak.com/word/w/white.mp4,white_0007_handspeak_63206.mp4,failed
8,63207,signingsavvy,11,0,train,25,1,-1,82,14,226,192,https://www.signingsavvy.com/signs/mp4/7/7061.mp4,white_0008_signingsavvy_63207.mp4,ok
9,63208,signingsavvy,11,0,train,25,1,-1,73,13,224,192,https://www.signingsavvy.com/signs/mp4/7/7064.mp4,white_0009_signingsavvy_63208.mp4,ok
10,63209,nabboud,68,0,train,25,1,-1,358,71,886,720,https://www.youtube.com/watch?v=0FYsztUQnUM,white_0010_nabboud_63209.mp4,skipped_no_ytdlp
11,63200,spreadthesign,42,0,train,25,1,-1,28,0,290,240,https://media.spreadthesign.com/video/mp4/13/50906.mp4,white_0011_spreadthesign_63200.mp4,ok
12,63210,scott,47,0,train,25,1,-1,322,11,920,720,https://www.youtube.com/watch?v=O6-OsGXF0Uw,white_0012_scott_63210.mp4,skipped_no_ytdlp
13,63211,aslu,5,0,val,25,1,-1,331,35,934,720,https://www.youtube.com/watch?v=uLjkLwFvFtw,white_0013_aslu_63211.mp4,skipped_no_ytdlp
14,63212,aslu,5,0,train,25,1,-1,334,46,929,720,https://www.youtube.com/watch?v=v8h6mw4zGys,white_0014_aslu_63212.mp4,skipped_no_ytdlp
15,63213,aslpro,87,0,val,25,1,-1,35,21,212,240,http://www.aslpro.com/main/w/white.swf,white_0015_aslpro_63213.mp4,skipped_swf
16,63214,aslsearch,12,0,train,25,1,-1,183,52,544,400,http://www.aslsearch.com/signs/videos/white.mp4,white_0016_aslsearch_63214.mp4,ok
17,63201,startasl,36,0,test,25,1,-1,237,13,537,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/white.mp4,white_0017_startasl_63201.mp4,ok
18,63202,startasl,38,0,train,25,1,-1,410,57,816,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/white-person.mp4,white_0018_startasl_63202.mp4,ok
19,63203,signschool,6,0,train,25,1,-1,640,39,1468,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20White-75OHf34DQXk.mp4,white_0019_signschool_63203.mp4,ok
