instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,63219,asl5200,9,0,test,25,2159,2235,0,0,360,240,https://www.youtube.com/watch?v=A5dihMAjeTE,who_0000_asl5200_63219.mp4,skipped_no_ytdlp
1,69534,aslbrick,118,0,train,25,1,-1,381,45,868,720,http://aslbricks.org/New/ASL-Videos/who.mp4,who_0001_aslbrick_69534.mp4,ok
2,68890,lillybauer,115,0,train,25,1,54,343,21,928,720,https://www.youtube.com/watch?v=SQUHKsHMUiw,who_0002_lillybauer_68890.mp4,skipped_no_ytdlp
3,68183,valencia-asl,111,0,train,25,1,-1,196,11,606,480,https://www.youtube.com/watch?v=Xx8ZjswBRLY,who_0003_valencia-asl_68183.mp4,skipped_no_ytdlp
4,63239,aslu,5,0,train,25,1,-1,356,43,951,720,https://www.youtube.com/watch?v=pBnGrdxhxHQ,who_0004_aslu_63239.mp4,skipped_no_ytdlp
5,63240,aslu,5,0,train,25,1,-1,333,18,917,720,https://www.youtube.com/watch?v=_V31e361KV8,who_0005_aslu_63240.mp4,skipped_no_ytdlp
6,63241,aslpro,87,0,train,25,1,-1,25,8,223,240,http://www.aslpro.com/main/w/who.swf,who_0006_aslpro_63241.mp4,skipped_swf
7,63242,aslsearch,12,0,train,25,1,-1,188,55,546,400,http://www.aslsearch.com/signs/videos/who.mp4,who_0007_aslsearch_63242.mp4,ok
8,63226,startasl,36,0,test,25,1,-1,235,15,526,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/who.mp4,who_0008_startasl_63226.mp4,ok
9,63227,signschool,6,0,train,25,1,-1,687,96,1421,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who%202-P20hHY3qUEQ.mp4,who_0009_signschool_63227.mp4,ok
10,63228,signschool,6,0,train,25,1,-1,693,88,1401,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-rehp_kwiS-I.mp4,who_0010_signschool_63228.mp4,ok
11,63229,signschool,4,0,val,25,1,-1,655,72,1505,1071,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-wmIY6Yo-vp8.mp4,who_0011_signschool_63229.mp4,ok
12,63230,signschool,46,0,val,25,1,-1,342,20,1162,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-xchfz0eTaP8.mp4,who_0012_signschool_63230.mp4,ok
13,63231,asldeafined,13,0,train,25,1,-1,128,8,517,480,https://media.asldeafined.com/vocabulary/1468928348.68.mp4,who_0013_asldeafined_63231.mp4,ok
14,66778,aslsignbank,88,0,train,25,1,-1,165,4,472,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WH/WHO-1430.mp4,who_0014_aslsignbank_66778.mp4,failed
15,63232,asldeafined,59,0,train,25,1,-1,112,28,507,480,https://media.asldeafined.com/vocabulary/1539176590.1089.mp4,who_0015_asldeafined_63232.mp4,ok
16,63233,handspeak,14,0,test,25,1,-1,121,12,533,480,https://www.handspeak.com/word/w/who.mp4,who_0016_handspeak_63233.mp4,failed
17,63234,handspeak,20,0,val,25,1,-1,173,0,516,360,https://www.handspeak.com/word/w/who-old.mp4,who_0017_handspeak_63234.mp4,failed
18,66779,aslsignbank,88,0,train,25,1,-1,167,3,471,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WH/WHO-2236.mp4,who_0018_aslsignbank_66779.mp4,failed
19,66780,aslsignbank,93,0,train,25,1,-1,195,32,472,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/WH/WHO-2283.mp4,who_0019_aslsignbank_66780.mp4,failed
20,63225,spreadthesign,42,0,train,25,1,-1,35,0,293,240,https://media.spreadthesign.com/video/mp4/13/51811.mp4,who_0020_spreadthesign_63225.mp4,ok
21,67066,asllex,109,0,train,25,1,-1,115,29,371,360,https://youtu.be/gDkZ2Zn3Sjg,who_0021_asllex_67066.mp4,skipped_no_ytdlp
23,63236,signingsavvy,11,0,train,25,1,-1,81,19,207,192,https://www.signingsavvy.com/signs/mp4/9/9019.mp4,who_0023_signingsavvy_63236.mp4,ok
24,63237,signingsavvy,11,0,val,25,1,-1,82,17,212,192,https://www.signingsavvy.com/signs/mp4/9/9020.mp4,who_0024_signingsavvy_63237.mp4,ok
25,63238,nabboud,80,0,train,25,1,-1,373,118,828,720,https://www.youtube.com/watch?v=dnDu1DxXWo4,who_0025_nabboud_63238.mp4,skipped_no_ytdlp
