instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,63574,asl5200,9,0,test,25,2855,2921,0,0,360,240,https://www.youtube.com/watch?v=A5dihMAjeTE,with_0000_asl5200_63574.mp4,skipped_no_ytdlp
1,69539,aslbrick,115,0,test,25,1,-1,611,65,1382,1080,http://aslbricks.org/New/ASL-Videos/with.mp4,with_0001_aslbrick_69539.mp4,ok
2,68572,lillybauer,113,0,train,25,1,75,229,33,1026,720,https://www.youtube.com/watch?v=IUF82n6VGoI,with_0002_lillybauer_68572.mp4,skipped_no_ytdlp
3,68714,lillybauer,113,0,train,25,1,85,123,12,545,360,https://www.youtube.com/watch?v=-mTZruzaw1E,with_0003_lillybauer_68714.mp4,skipped_no_ytdlp
4,68186,valencia-asl,109,0,val,25,1,-1,116,0,1093,720,https://www.youtube.com/watch?v=-WH3cssdJmQ,with_0004_valencia-asl_68186.mp4,skipped_no_ytdlp
5,63594,aslu,5,0,val,25,1,-1,348,43,965,720,https://www.youtube.com/watch?v=_JfI3DaFB6w,with_0005_aslu_63594.mp4,skipped_no_ytdlp
6,63595,aslpro,84,0,train,25,1,-1,7,2,248,240,http://www.aslpro.com/main/w/with.swf,with_0006_aslpro_63595.mp4,skipped_swf
7,63596,aslsearch,41,0,train,25,1,-1,238,36,496,400,http://www.aslsearch.com/signs/videos/with.mp4,with_0007_aslsearch_63596.mp4,ok
8,66795,aslsignbank,88,0,train,25,1,-1,173,6,482,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WI/WITH-323.mp4,with_0008_aslsignbank_66795.mp4,failed
9,63587,spreadthesign,42,0,train,25,1,-1,33,0,297,240,https://media.spreadthesign.com/video/mp4/13/51078.mp4,with_0009_spreadthesign_63587.mp4,ok
10,67076,asllex,109,0,val,25,1,-1,106,18,346,360,https://youtu.be/etoY8lmULMg,with_0010_asllex_67076.mp4,skipped_no_ytdlp
11,63588,startasl,38,0,train,25,1,-1,393,58,823,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/with.mp4,with_0011_startasl_63588.mp4,ok
12,63589,signschool,31,0,train,25,1,-1,633,63,1662,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20With-sLUkJtZiNn8.mp4,with_0012_signschool_63589.mp4,ok
13,63590,asldeafined,13,0,train,25,1,-1,139,5,518,480,https://media.asldeafined.com/vocabulary/1468928850.9790.mp4,with_0013_asldeafined_63590.mp4,ok
14,63591,handspeak,14,0,train,25,1,-1,96,5,514,480,https://www.handspeak.com/word/w/with.mp4,with_0014_handspeak_63591.mp4,failed
15,63592,signingsavvy,11,0,train,25,1,-1,65,12,210,192,https://www.signingsavvy.com/signs/mp4/9/9702.mp4,with_0015_signingsavvy_63592.mp4,ok
16,63593,aslu,5,0,train,25,1,-1,85,18,433,360,https://www.youtube.com/watch?v=g4AwGIjxn7k,with_0016_aslu_63593.mp4,skipped_no_ytdlp
