instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,63769,asl5200,9,0,test,25,3525,3574,0,0,360,240,https://www.youtube.com/watch?v=A5dihMAjeTE,work_0000_asl5200_63769.mp4,skipped_no_ytdlp
1,68924,lillybauer,115,0,val,25,1,62,323,9,919,720,https://www.youtube.com/watch?v=TZ65f_6GglU,work_0001_lillybauer_68924.mp4,skipped_no_ytdlp
2,63804,nabboud,80,0,train,25,1,-1,391,57,828,720,https://www.youtube.com/watch?v=pDRfD3bNsEo,work_0002_nabboud_63804.mp4,skipped_no_ytdlp
3,63805,aslpro,25,0,train,25,1,-1,0,5,234,240,http://www.aslpro.com/main/w/work.swf,work_0003_aslpro_63805.mp4,skipped_swf
4,63806,aslsearch,41,0,train,25,1,-1,234,38,498,400,http://www.aslsearch.com/signs/videos/work.mp4,work_0004_aslsearch_63806.mp4,ok
5,63789,spreadthesign,2,0,test,25,1,-1,57,6,262,240,https://media.spreadthesign.com/video/mp4/13/244773.mp4,work_0005_spreadthesign_63789.mp4,ok
6,63790,startasl,36,0,train,25,1,-1,217,13,531,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/work.mp4,work_0006_startasl_63790.mp4,ok
7,63791,signschool,4,0,train,25,1,-1,534,52,1589,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Synagogue%2C%20Work-T8QJNv7wRCs.mp4,work_0007_signschool_63791.mp4,ok
8,63792,signschool,3,0,train,25,1,-1,501,0,1402,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Work-hQKYeuN5tMI.mp4,work_0008_signschool_63792.mp4,ok
9,63793,asldeafined,13,0,train,25,1,-1,125,8,554,480,https://media.asldeafined.com/vocabulary/1468929052.2546.mp4,work_0009_asldeafined_63793.mp4,ok
10,63794,handspeak,20,0,train,25,1,-1,102,0,506,480,https://www.handspeak.com/word/w/work.mp4,work_0010_handspeak_63794.mp4,failed
11,63795,signingsavvy,11,0,val,25,1,-1,75,14,206,192,https://www.signingsavvy.com/signs/mp4/14/14523.mp4,work_0011_signingsavvy_63795.mp4,ok
12,66804,aslsignbank,88,0,train,25,1,-1,157,4,463,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WO/WORK-1450.mp4,work_0012_aslsignbank_66804.mp4,failed
15,63788,elementalasl,19,0,val,25,1,-1,94,4,250,180,https://elementalaslconcepts.weebly.com/uploads/2/4/4/5/24454483/work.mov,work_0015_elementalasl_63788.mp4,ok
16,67003,asllex,109,0,train,25,1,-1,101,13,378,360,https://youtu.be/FwfWrRxzSxw,work_0016_asllex_67003.mp4,skipped_no_ytdlp
18,63799,signingsavvy,11,0,train,25,1,-1,50,17,211,192,https://www.signingsavvy.com/signs/mp4/8/8599.mp4,work_0018_signingsavvy_63799.mp4,ok
20,63801,aslu,5,0,train,25,1,-1,371,43,963,720,https://www.youtube.com/watch?v=1nt04tWWp5s,work_0020_aslu_63801.mp4,skipped_no_ytdlp
21,63802,nabboud,69,0,train,25,1,-1,399,57,836,720,https://www.youtube.com/watch?v=dsZQRTrQjiE,work_0021_nabboud_63802.mp4,skipped_no_ytdlp
22,63803,aslu,5,0,train,25,1,-1,357,44,953,720,https://www.youtube.com/watch?v=mJrUYRjvrew,work_0022_aslu_63803.mp4,skipped_no_ytdlp
