instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,64049,asl5200,9,0,test,25,4096,4172,0,0,360,240,https://www.youtube.com/watch?v=A5dihMAjeTE,write_0000_asl5200_64049.mp4,skipped_no_ytdlp
1,69544,aslbrick,115,0,test,25,1,-1,375,42,940,720,http://aslbricks.org/New/ASL-Videos/write.mp4,write_0001_aslbrick_69544.mp4,ok
2,70261,northtexas,121,0,train,25,2672,2765,146,47,426,360,https://www.youtube.com/watch?v=WGfiiDgrq1I,write_0002_northtexas_70261.mp4,skipped_no_ytdlp
3,64060,asldeafined,13,0,train,25,1,-1,68,7,524,480,https://media.asldeafined.com/vocabulary/1468929385.6917.mp4,write_0003_asldeafined_64060.mp4,ok
4,64061,asldeafined,15,0,val,25,1,-1,123,30,511,480,https://media.asldeafined.com/vocabulary/1522768314.6956.mp4,write_0004_asldeafined_64061.mp4,ok
5,64062,handspeak,14,0,val,25,1,-1,67,11,252,240,https://www.handspeak.com/word/w/write2.mp4,write_0005_handspeak_64062.mp4,failed
7,64064,handspeak,20,0,train,25,1,-1,66,11,253,240,https://www.handspeak.com/word/w/write.mp4,write_0007_handspeak_64064.mp4,failed
8,64065,signingsavvy,11,0,train,25,1,-1,59,17,215,192,https://www.signingsavvy.com/signs/mp4/8/8441.mp4,write_0008_signingsavvy_64065.mp4,ok
9,66815,aslsignbank,88,0,train,25,1,-1,155,8,458,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/WR/WRITE-1467.mp4,write_0009_aslsignbank_66815.mp4,failed
10,64056,spreadthesign,42,0,train,25,1,-1,49,0,279,240,https://media.spreadthesign.com/video/mp4/13/51100.mp4,write_0010_spreadthesign_64056.mp4,ok
11,67008,asllex,109,0,val,25,1,-1,68,20,378,360,https://youtu.be/ggCEDV4EoGs,write_0011_asllex_67008.mp4,skipped_no_ytdlp
12,64066,aslu,5,0,train,25,1,-1,316,38,981,720,https://www.youtube.com/watch?v=3RYUgwyFzgM,write_0012_aslu_64066.mp4,skipped_no_ytdlp
13,64067,aslu,5,0,train,25,1,-1,151,8,495,360,https://www.youtube.com/watch?v=rqBe62cqd6w,write_0013_aslu_64067.mp4,skipped_no_ytdlp
14,64068,aslsearch,12,0,train,25,1,-1,205,61,555,400,http://www.aslsearch.com/signs/videos/write.mp4,write_0014_aslsearch_64068.mp4,ok
15,64057,startasl,36,0,train,25,1,-1,237,13,526,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/write.mp4,write_0015_startasl_64057.mp4,ok
16,64058,startasl,38,0,train,25,1,-1,395,55,800,720,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/writing.mp4,write_0016_startasl_64058.mp4,ok
17,64059,signschool,31,0,train,25,1,-1,635,73,1424,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Write-2Vss5wDKFhg.mp4,write_0017_signschool_64059.mp4,ok
