instance_id,video_id,source,signer_id,variation_id,split,fps,frame_start,frame_end,bbox_x1,bbox_y1,bbox_x2,bbox_y2,url,filename,status
0,64275,asl5200,9,0,test,25,105,174,0,0,360,240,https://www.youtube.com/watch?v=BRO-oYGV224,yes_0000_asl5200_64275.mp4,skipped_no_ytdlp
1,69546,aslbrick,118,0,val,25,1,-1,214,41,881,720,http://aslbricks.org/New/ASL-Videos/yes.mp4,yes_0001_aslbrick_69546.mp4,ok
2,64287,asldeafined,13,0,val,25,1,-1,120,4,526,480,https://media.asldeafined.com/vocabulary/1468774983.6377.mp4,yes_0002_asldeafined_64287.mp4,ok
3,68192,valencia-asl,109,0,val,25,1,-1,104,0,1150,720,https://www.youtube.com/watch?v=-on_5PoBEak,yes_0003_valencia-asl_68192.mp4,skipped_no_ytdlp
4,64290,handspeak,14,0,train,25,1,-1,107,14,561,480,https://www.handspeak.com/word/y/yes.mp4,yes_0004_handspeak_64290.mp4,failed
5,64284,signschool,3,0,train,25,1,-1,724,29,1675,1080,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Yes-Kg0VRsnehgQ.mp4,yes_0005_signschool_64284.mp4,ok
6,64291,signingsavvy,10,0,train,25,1,-1,81,25,212,192,https://www.signingsavvy.com/signs/mp4/23/23544.mp4,yes_0006_signingsavvy_64291.mp4,ok
8,64292,signingsavvy,10,0,train,25,1,-1,79,23,212,192,https://www.signingsavvy.com/signs/mp4/23/23545.mp4,yes_0008_signingsavvy_64292.mp4,ok
9,64293,signingsavvy,10,0,test,25,1,-1,70,20,212,192,https://www.signingsavvy.com/signs/mp4/23/23546.mp4,yes_0009_signingsavvy_64293.mp4,ok
10,64294,aslu,5,0,train,25,1,-1,316,50,892,720,https://www.youtube.com/watch?v=0usayvOXzHo,yes_0010_aslu_64294.mp4,skipped_no_ytdlp
11,64295,aslu,5,0,train,25,1,-1,245,63,893,720,https://www.youtube.com/watch?v=3J2KaRL9i_Q,yes_0011_aslu_64295.mp4,skipped_no_ytdlp
12,64296,scott,47,0,train,25,1,-1,311,17,905,720,https://www.youtube.com/watch?v=gpNDuOwyW7Q,yes_0012_scott_64296.mp4,skipped_no_ytdlp
13,66820,aslsignbank,88,0,train,25,1,-1,168,14,461,370,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/YE/YES-1472.mp4,yes_0013_aslsignbank_66820.mp4,failed
14,64297,aslu,5,0,test,25,1,-1,155,14,481,360,https://www.youtube.com/watch?v=JLNxO35tB-U,yes_0014_aslu_64297.mp4,skipped_no_ytdlp
15,64280,spreadthesign,28,0,train,25,1,-1,20,13,258,240,https://media.spreadthesign.com/video/mp4/13/485639.mp4,yes_0015_spreadthesign_64280.mp4,ok
16,64298,nabboud,51,0,val,25,1,-1,309,64,891,720,https://www.youtube.com/watch?v=wc2A8AZepy4,yes_0016_nabboud_64298.mp4,skipped_no_ytdlp
17,64299,aslpro,30,0,train,25,1,-1,2,15,220,240,http://www.aslpro.com/main/y/yes.swf,yes_0017_aslpro_64299.mp4,skipped_swf
18,64300,aslsearch,41,0,train,25,1,-1,235,44,478,400,http://www.aslsearch.com/signs/videos/yes.mp4,yes_0018_aslsearch_64300.mp4,ok
19,64281,startasl,36,0,train,25,1,-1,222,13,524,414,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/yes.mp4,yes_0019_startasl_64281.mp4,ok
20,64288,asldeafined,15,0,train,25,1,-1,143,25,514,480,https://media.asldeafined.com/vocabulary/1522767427.6654.mp4,yes_0020_asldeafined_64288.mp4,ok
22,64289,handspeak,14,0,train,25,1,-1,106,14,568,480,https://www.handspeak.com/word/y/yes-fs.mp4,yes_0022_handspeak_64289.mp4,failed
23,64283,signschool,4,0,train,25,1,-1,625,111,1483,1063,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Yes-IIWhF2S6saQ.mp4,yes_0023_signschool_64283.mp4,ok
